,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,name_common,mlb_ID,player_ID,year_ID,team_ID,stint_ID,lg_ID,pitcher,G,PA,salary,runs_above_avg,runs_above_avg_off,runs_above_avg_def,WAR_rep,WAA,WAR
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,David Aardsma,430911.0,aardsda01,2015,ATL,1,NL,Y,30,1.0,,-0.1,-0.1,0.0,0.0,-0.01,-0.01
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,60,Fernando Abad,472551.0,abadfe01,2015,OAK,1,AL,Y,4,0.0,1087500.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,61,Fernando Abad,472551.0,abadfe01,2016,BOS,2,AL,Y,2,0.0,1250000.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,62,Fernando Abad,472551.0,abadfe01,2016,MIN,1,AL,Y,2,1.0,,-0.1,-0.1,0.0,0.0,-0.01,-0.01
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,63,Fernando Abad,472551.0,abadfe01,2017,BOS,1,AL,Y,4,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,64,Fernando Abad,472551.0,abadfe01,2019,SFG,1,NL,Y,18,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,65,Fernando Abad,472551.0,abadfe01,2021,BAL,1,AL,Y,2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,89,Cory Abbott,676265.0,abbotco01,2021,CHC,1,NL,Y,8,3.0,,0.3,0.3,0.0,0.0,0.03,0.03
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,215,CJ Abrams,682928.0,abramcj01,2022,SDP,1,NL,N,46,139.0,,-3.5,-2.5,0.9,0.45,-0.35,0.1
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,216,CJ Abrams,682928.0,abramcj01,2022,WSN,2,NL,N,44,163.0,,-4.9,-0.9,-1.5,0.52,-0.49,0.03
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,219,Albert Abreu,656061.0,abreual01,2020,NYY,1,AL,Y,0,0.0,,0.0,0.0,0.0,,,
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,220,Albert Abreu,656061.0,abreual01,2021,NYY,1,AL,Y,3,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,221,Albert Abreu,656061.0,abreual01,2022,KCR,2,AL,Y,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,242,Bryan Abreu,650556.0,abreubr01,2019,HOU,1,AL,Y,0,0.0,,0.0,0.0,0.0,,,
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,243,Bryan Abreu,650556.0,abreubr01,2020,HOU,1,AL,Y,0,0.0,,0.0,0.0,0.0,,,
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,244,Bryan Abreu,650556.0,abreubr01,2021,HOU,1,AL,Y,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,252,Jose Abreu,547989.0,abreujo02,2015,CHW,1,AL,N,154,668.0,8666000.0,9.1,12.1,-12.9,2.3,1.18,3.48
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,253,Jose Abreu,547989.0,abreujo02,2016,CHW,1,AL,N,159,695.0,13334000.0,5.9,6.9,-10.0,2.36,0.74,3.1
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,254,Jose Abreu,547989.0,abreujo02,2017,CHW,1,AL,N,156,675.0,10825000.0,25.5,24.5,-8.4,2.3,2.62,4.92
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,255,Jose Abreu,547989.0,abreujo02,2018,CHW,1,AL,N,128,553.0,13000000.0,-1.0,0.1,-8.5,1.85,0.14,1.99
