,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,IDfg,Season,Name,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM,OAA,RAA,R,BRSB,BRCS,BsR
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12979,2019,Javier Baez,CHC,SS,0.8,0.7950310559006211,0.7762807017543859,0.1273148148148148,0.8394495412844037,0.576923076923077,0.2142857142857142,0.8571428571428571,0.6492537313432836,0.8,0.5606060606060607,0.0220588235294117,,,,,,0.973,,,0.8571428571428571,,0.5333333333333333,1.0,1.0,0.7966573816155988,0.798611111111111,0.804,0.6000000000000001,,,,1.0,0.6381909547738693,0.7425149700598802,0.8241758241758242,0.381422351233672,,,1.0,0.0,0.1134020618556701,0.0,0.5135135135135135,0.3329999999999999,0.18,0.7,0.4166666666666667,0.885,0.5652173913043478,0.983,0.716566866267465,,,,,1.0,1.0,0.6592592592592593,0.2391304347826087,0.7000000000000001,0.4561403508771929
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11739,2019,J.T. Realmuto,PHI,C,0.8250000000000001,0.8074534161490683,0.7923508771929824,0.8472222222222222,0.1536697247706422,0.3461538461538461,0.0,0.6428571428571428,0.0074626865671641,0.1833333333333333,0.0454545454545454,0.0220588235294117,,0.5212765957446809,1.0,0.5,0.5357142857142857,0.992,,1.0,,,0.6,,0.6346153846153846,,,,,,,,,,,,,,,0.928982725527831,0.0,0.0618556701030927,0.15,0.5405405405405406,0.511,0.9,0.667,0.25,1.0,0.0652173913043478,0.97,0.0658682634730539,0.3703703703703703,0.4210526315789474,,0.6242603550295859,,,0.6814814814814815,0.1956521739130434,0.1,0.7017543859649122
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,12976,2019,Austin Hedges,SDP,C,0.5875,0.577639751552795,0.5635087719298245,0.662037037037037,0.0802752293577981,0.4230769230769231,0.2142857142857142,0.5714285714285714,0.0074626865671641,0.0333333333333333,0.0151515151515151,0.0,,0.2553191489361702,0.2790697674418604,0.125,0.6428571428571428,0.988,,0.375,,,0.2666666666666666,,0.7884615384615385,,,,,,,,,,,,,,,0.9251439539347408,0.0,0.0515463917525773,0.0,0.2702702702702703,0.263,0.38,1.0,0.1666666666666666,1.0,0.0217391304347826,0.88,0.0499001996007984,1.0,0.9473684210526316,,1.0,,,0.2074074074074074,0.0217391304347826,0.0,0.391812865497076
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12916,2019,Francisco Lindor,CLE,SS,0.8500000000000001,0.8509316770186335,0.8323508771929823,0.1226851851851851,0.7155963302752294,0.3846153846153846,0.2142857142857142,0.5,0.4328358208955223,0.5,0.4090909090909091,0.0808823529411764,,,,,,0.979,,,0.5714285714285714,,0.6,0.5116279069767442,0.5769230769230769,0.6601671309192201,0.625,0.759,0.62,,,,0.6153846153846154,0.542713567839196,0.7964071856287425,0.6923076923076924,0.3753265602322206,,,0.8579654510556622,0.0,0.1030927835051546,0.091,0.5945945945945946,0.421,0.38,0.7859999999999999,0.5833333333333335,0.722,0.3913043478260869,0.984,0.6427145708582834,,,,,0.8653846153846154,0.8717948717948718,0.7481481481481482,0.4782608695652174,0.5,0.2690058479532163
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,11368,2019,Yasmani Grandal,MIL,C,0.8500000000000001,0.7701863354037266,0.7615438596491227,0.902006172839506,0.0940366972477064,0.3076923076923077,0.0,0.5714285714285714,0.0,0.1833333333333333,0.0,0.0,,0.776595744680851,0.627906976744186,0.5,0.5357142857142857,0.993,,0.1875,,,0.3999999999999999,,0.4038461538461538,,,,,,,,,,,,,,,0.8445297504798464,0.0,0.1649484536082474,0.0,0.7567567567567568,0.3429999999999999,0.7,0.643,0.5833333333333335,0.5,0.0434782608695652,1.0,0.06187624750499,0.6666666666666666,0.3157894736842105,,0.8905325443786982,,,0.5851851851851853,0.108695652173913,0.1,0.087719298245614
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9774,2019,Christian Vazquez,BOS,C,0.7375,0.639751552795031,0.6371929824561403,0.7669753086419753,0.1628440366972477,0.0384615384615384,0.0,0.0714285714285714,0.0,0.05,0.0151515151515151,0.0147058823529411,,0.3829787234042553,0.5116279069767442,0.5625,1.0,0.999,,0.5,,,0.0666666666666666,,0.5,,,,,,,,,,,,,,,0.8214971209213051,0.0,0.1443298969072165,0.0,0.2432432432432432,0.44,0.5,1.0,0.125,0.5,0.0434782608695652,1.0,0.0459081836327345,0.5925925925925926,0.631578947368421,,0.7544378698224853,,,0.4888888888888889,0.0869565217391304,0.2,0.1403508771929824
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2900,2019,Roberto Perez,CLE,C,0.7312500000000001,0.7080745341614907,0.6899649122807017,0.8348765432098765,0.1192660550458715,0.1153846153846153,0.0,0.2142857142857142,0.0074626865671641,0.15,0.0151515151515151,0.0147058823529411,,0.3085106382978723,0.4651162790697674,0.0,0.4285714285714285,0.997,,0.5,,,0.8666666666666667,,0.9807692307692308,,,,,,,,,,,,,,,0.7811900191938579,0.0,0.0412371134020618,0.0,0.3513513513513513,0.4379999999999999,0.32,1.0,0.25,0.857,0.1521739130434782,0.964,0.0558882235528942,0.7407407407407407,1.0,,0.6715976331360947,,,0.3407407407407407,0.0,0.0,0.1461988304093567
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,12147,2019,Nick Ahmed,ARI,SS,0.98125,0.9627329192546584,0.9621052631578948,0.1597222222222222,0.9449541284403672,0.5,0.5,0.4285714285714285,0.5298507462686567,0.5833333333333334,0.5757575757575758,0.0514705882352941,,,,,,0.979,,,0.5714285714285714,,0.3333333333333333,0.7674418604651163,0.7115384615384616,0.7771587743732591,0.7465277777777778,0.771,1.0,,,,0.6153846153846154,0.5527638190954773,0.5029940119760479,0.5274725274725275,0.360522496371553,,,0.7696737044145873,0.0,0.0824742268041237,0.05,0.5405405405405406,0.467,0.3,0.364,0.9166666666666669,0.882,0.7391304347826088,0.973,0.8802395209580839,,,,,0.7307692307692308,0.7435897435897436,0.5851851851851853,0.1739130434782608,0.2,0.5146198830409356
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,12564,2019,Trevor Story,COL,SS,0.89375,0.8944099378881987,0.8751578947368419,0.140432098765432,0.9541284403669724,0.3076923076923077,0.0714285714285714,0.5,0.6268656716417911,0.6833333333333333,0.6666666666666667,0.0367647058823529,,,,,,0.987,,,0.5714285714285714,,0.4666666666666667,0.8372093023255813,0.8076923076923077,0.8635097493036211,0.8368055555555555,0.777,0.8200000000000001,,,,0.5230769230769232,0.7336683417085428,0.7365269461077844,0.7728937728937729,0.383744557329463,,,0.761996161228407,0.0,0.1030927835051546,0.0,0.4864864864864864,0.556,0.36,0.7140000000000001,0.875,0.818,0.9565217391304348,0.982,0.7664670658682634,,,,,0.75,0.7435897435897436,0.8222222222222223,0.5,0.8,0.7309941520467835
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9134,2019,Tyler Flowers,ATL,C,0.5125000000000001,0.4534161490683229,0.4694736842105262,0.5216049382716049,0.0848623853211009,0.1153846153846153,0.0714285714285714,0.0714285714285714,0.0,0.05,0.0,0.0073529411764705,,0.4042553191489361,0.2093023255813953,1.0,0.6428571428571428,0.996,,0.375,,,0.0666666666666666,,0.4615384615384615,,,,,,,,,,,,,,,0.7600767754318618,0.0,0.1030927835051546,0.0,0.2972972972972973,0.1,0.4,1.0,0.125,0.8,0.108695652173913,0.933,0.029940119760479,0.7037037037037037,0.5263157894736843,,0.7781065088757397,,,0.2666666666666666,0.0,0.0,0.2456140350877192
