,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,last_name,first_name,player_id_x,display_team_name,year_x,primary_pos_formatted,fielding_runs_prevented,outs_above_average_x,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,age,competitive_runs,bolts,hp_to_1b,sprint_speed,resp_fielder_id,year_y,outs_above_average_y,outs_per_play,rel_league_burst_distance,rel_league_reaction_distance,rel_league_routing_distance,rel_league_bootup_distance,f_bootup_distance,n,n_outs
0,0,0,0,0,0,Abreu,Jose,547989.0,White Sox,,1B,0.3636363636363636,0.3720930232558139,0.5185185185185185,0.3333333333333333,0.5263157894736842,0.7,0.40625,0.3333333333333333,0.6666666666666667,0.6970684039087948,,0.5431034482758617,0.4939759036144582,,,,,,,,,,,
1,1,1,1,1,1,Acuna Jr.,Ronald,660670.0,Braves,,RF,0.4242424242424242,0.4186046511627906,0.5185185185185185,0.4166666666666666,0.4736842105263157,0.7,0.40625,0.4444444444444444,0.1428571428571428,0.2345276872964169,0.136986301369863,0.21551724137931,0.8433734939759034,0.9035995519368698,0.0,0.5,0.469,0.6666666666666666,0.2428571428571428,0.8857142857142857,0.688,0.5867768595041323,0.2673267326732673,0.2307692307692307
2,2,2,2,2,2,Adames,Willy,642715.0,---,,SS,0.2424242424242424,0.2325581395348837,0.5185185185185185,0.4583333333333333,0.1578947368421052,0.5,0.34375,0.1111111111111111,0.2380952380952381,0.5439739413680782,,0.3448275862068959,0.6746987951807233,,,,,,,,,,,
3,3,3,3,3,3,Adams,Matt,571431.0,Rockies,,1B,0.3636363636363636,0.3720930232558139,0.4814814814814814,0.4166666666666666,0.5263157894736842,0.5,0.375,0.4444444444444444,0.5714285714285714,0.0293159609120521,,0.6206896551724133,0.3493975903614461,,,,,,,,,,,
4,4,4,4,4,4,Adell,Jo,666176.0,Angels,,LF,0.3939393939393939,0.3953488372093023,0.4814814814814814,0.4583333333333333,0.4736842105263157,0.6,0.40625,0.3888888888888888,0.0952380952380951,0.1661237785016286,0.1506849315068493,0.25,0.9036144578313254,0.9266129436744523,0.0,0.4230769230769231,0.348,0.5833333333333333,0.1285714285714285,0.9142857142857144,0.552,0.5371900826446279,0.1782178217821782,0.123076923076923
5,5,5,5,5,5,Adrianza,Ehire,501303.0,Braves,,SS,0.4242424242424242,0.4418604651162791,0.5555555555555556,0.4583333333333333,0.5263157894736842,0.5,0.375,0.5,0.5238095238095237,0.2117263843648208,,0.3793103448275858,0.5421686746987953,0.2374943574139401,0.0,0.3461538461538462,0.2,0.4259259259259259,0.2142857142857142,0.8571428571428571,0.432,0.28099173553719,0.0,0.0153846153846153
6,6,6,6,6,6,Aguilar,Jesus,542583.0,Marlins,,1B,0.4545454545454545,0.4418604651162791,0.6666666666666666,0.3333333333333333,0.4736842105263157,0.6,0.46875,0.3888888888888888,0.5238095238095237,0.3908794788273615,,0.7241379310344827,0.2289156626506026,,,,,,,,,,,
7,7,7,7,7,7,Ahmed,Nick,605113.0,D-backs,,SS,0.8181818181818181,0.8139534883720929,1.0,0.5416666666666666,0.6842105263157894,0.5,0.84375,0.611111111111111,0.5238095238095237,0.5374592833876222,0.0,0.4051724137931032,0.6506024096385543,,,,,,,,,,,
8,8,8,8,8,8,Akiyama,Shogo,673451.0,Reds,,CF,0.4545454545454545,0.4418604651162791,0.5555555555555556,0.3749999999999999,0.631578947368421,0.6,0.4375,0.4444444444444444,0.6190476190476191,0.2345276872964169,,0.0948275862068959,0.6867469879518078,0.9570202129971744,0.0,0.5,0.5910000000000001,0.5277777777777777,0.1571428571428571,0.8999999999999999,0.52,0.5206611570247937,0.1683168316831683,0.2
9,9,9,9,9,9,Alberto,Hanser,593643.0,Royals,,2B,0.3636363636363636,0.3720930232558139,0.4074074074074074,0.4166666666666666,0.6842105263157894,0.4,0.34375,0.4444444444444444,0.3809523809523809,0.2801302931596091,,0.396551724137931,0.5301204819277112,,,,,,,,,,,
