,Unnamed: 0,Name,Team,G,GS,IP,SO,BB,K/9,BB/9,HR/9,K/BB,AVG,WHIP,RS/9,ERA,FIP,xFIP,SIERA,WAR,bWAR,aWAR,WPA
0,0,Corbin Burnes,MIL,0.3847204,0.7981411,0.69957286,0.6159217,0.39618742,0.5644657,0.09559337,0.07979519,0.38386828,0.19087923,0.109634794,0.23206471,0.08761743,0.071431555,0.3704591,0.17646727,0.7276733,0.6650309,0.64933705,0.5756756
1,1,Zack Wheeler,PHI,0.4511317,0.89926505,0.7641992,0.615922,0.5570662,0.45899826,0.087401666,0.09631516,0.35073835,0.22530454,0.11009472,0.23206471,0.08660785,0.07960277,0.3704591,0.22640632,0.7391186,0.666372,0.6501767,0.5756756
2,2,Nathan Eovaldi,BOS,0.43318003,0.8968355,0.76419693,0.6159219,0.52363193,0.40884465,0.089232884,0.11198328,0.345299,0.2567539,0.12273073,0.23206471,0.09751016,0.087373614,0.3704591,0.25915843,0.72591764,0.6176464,0.6488724,0.5513624
3,3,Walker Buehler,LAD,0.4311479,0.899182,0.76419854,0.615922,0.5489667,0.40538043,0.09503454,0.10918014,0.30055806,0.20123163,0.11030406,0.23206471,0.088084325,0.08811412,0.3704591,0.2686038,0.7309627,0.66602296,0.649677,0.5756756
4,4,Max Scherzer,- - -,0.41891482,0.85911185,0.75781685,0.61592185,0.40172932,0.5457714,0.08934841,0.13479273,0.40001398,0.17725852,0.104800254,0.23206471,0.087118596,0.08930111,0.3704591,0.19999792,0.7240623,0.6656709,0.6493071,0.5756756
5,5,Gerrit Cole,NYY,0.44271758,0.8939063,0.76419574,0.615922,0.50583106,0.5237209,0.090832666,0.13960671,0.36549592,0.21705326,0.11243689,0.23206471,0.09277984,0.08725025,0.3704591,0.20889921,0.73055655,0.6657147,0.6493657,0.5756754
6,6,Julio Urias,LAD,0.4196786,0.8819921,0.7641946,0.61592185,0.48148304,0.41165146,0.092180744,0.11788312,0.31851542,0.21740258,0.11319034,0.23206471,0.09343459,0.09189536,0.3704591,0.26800883,0.7219032,0.6629229,0.64902484,0.57567555
7,7,Carlos Rodon,CHW,0.42476282,0.6208183,0.6092471,0.6159159,0.3780916,0.5428656,0.109875366,0.112575114,0.3303454,0.18641579,0.11402577,0.23206471,0.09199113,0.08759287,0.3704591,0.21759665,0.64272565,0.65000606,0.64378387,0.57567525
8,8,Jacob deGrom,NYM,0.40986964,0.21144348,0.33125564,0.47809118,0.08950722,0.6525493,0.08059088,0.09399182,0.42243722,0.147844,0.09690738,0.23206471,0.082185395,0.070936404,0.3704591,0.14204015,0.61659306,0.6310219,0.6211788,0.57567304
9,9,Kevin Gausman,SFG,0.44034725,0.8939973,0.7641963,0.615922,0.5539457,0.46171272,0.10191792,0.12357645,0.33064362,0.21447185,0.11628013,0.23206471,0.09206601,0.0896361,0.3704591,0.24688293,0.72206134,0.6620507,0.64916897,0.5756754
10,10,Brandon Woodruff,MIL,0.41905734,0.85684687,0.7476317,0.61592174,0.47500923,0.46100363,0.09620342,0.10532385,0.3262561,0.20051059,0.112439655,0.23206471,0.08968679,0.0857892,0.3704591,0.23340851,0.7140972,0.65692127,0.6488962,0.5756741
11,11,Charlie Morton,ATL,0.43358296,0.87753165,0.7641935,0.6159219,0.58055407,0.48170573,0.12218272,0.1088152,0.27852067,0.21420486,0.12267412,0.23206471,0.09655513,0.094128944,0.3704591,0.25427142,0.70031816,0.6352679,0.6487522,0.5756021
12,12,Dylan Cease,CHW,0.43920124,0.879974,0.76394093,0.615922,0.6682895,0.54419136,0.14295593,0.140378,0.23246111,0.23653953,0.13405088,0.23206471,0.106353916,0.09752178,0.3704591,0.27671066,0.6528165,0.6180164,0.60540086,0.5172606
13,13,Aaron Nola,PHI,0.41397384,0.89886713,0.76419455,0.6159219,0.5761687,0.4823886,0.09493157,0.15892334,0.3352001,0.26575005,0.12718262,0.23206471,0.10835399,0.10082914,0.3704591,0.24884787,0.64323205,0.55329204,0.53223056,0.4469631
14,14,Sandy Alcantara,MIA,0.45174262,0.89951086,0.7641989,0.615922,0.63827133,0.36989424,0.098404124,0.11700591,0.27719066,0.2433475,0.12148041,0.23206471,0.09855512,0.09323995,0.3704591,0.2788687,0.71062577,0.62683374,0.6486307,0.4650878
15,15,Lance Lynn,CHW,0.44904754,0.7724892,0.7112273,0.6159209,0.46334273,0.42989475,0.108880766,0.121160805,0.27299577,0.21329962,0.119982295,0.23206471,0.09429557,0.09589777,0.3704591,0.28849098,0.6522358,0.65166175,0.6470567,0.57567495
16,16,Trevor Rogers,MIA,0.42504847,0.66123974,0.59836125,0.6098077,0.43132448,0.4674174,0.13097045,0.09441524,0.24993595,0.21749334,0.13063383,0.23206471,0.101096965,0.08874958,0.3704591,0.27743345,0.5995287,0.5750078,0.5367338,0.5441062
17,17,Logan Webb,SFG,0.42773017,0.73089474,0.6542517,0.6152016,0.4158872,0.42938983,0.10411941,0.0936506,0.3114768,0.23786797,0.12641947,0.23206471,0.09897557,0.08912869,0.3704591,0.22675045,0.6292007,0.59507996,0.5936035,0.5753664
18,18,Lucas Giolito,CHW,0.43837136,0.8868217,0.76419413,0.61592185,0.59547925,0.45759118,0.11524067,0.14547738,0.2789023,0.23044355,0.12557669,0.23206471,0.09989758,0.10017829,0.3704591,0.28607884,0.6273436,0.5993089,0.60790193,0.5145597
19,19,Frankie Montas,OAK,0.4586284,0.89841,0.7641975,0.615922,0.63604677,0.42130128,0.111857615,0.12853111,0.2707882,0.24525185,0.1276369,0.23206471,0.0995151,0.09586679,0.3704591,0.28673512,0.6586166,0.6011084,0.62111837,0.4920262
20,20,Jose Berrios,- - -,0.45436722,0.89927375,0.7641972,0.6159219,0.58059925,0.407813,0.09667731,0.13653801,0.31701812,0.24550061,0.12271535,0.23206471,0.10039725,0.10202032,0.3704591,0.2707437,0.6661288,0.60516256,0.6119481,0.4704555
21,21,Freddy Peralta,MIL,0.40084115,0.697201,0.6397536,0.6159192,0.46258286,0.55813247,0.14007194,0.11493568,0.26196483,0.17387761,0.11941928,0.23206471,0.09542065,0.095812574,0.3704591,0.25981304,0.59890366,0.61583716,0.5951602,0.5756706
22,22,Robbie Ray,TOR,0.4331279,0.8991854,0.76419777,0.615922,0.56027114,0.49697924,0.09523701,0.16126417,0.33733302,0.19968219,0.11153256,0.23206471,0.090946235,0.096349016,0.3704591,0.23126988,0.68780214,0.66522825,0.6492368,0.5756753
23,23,Eduardo Rodriguez,BOS,0.413195,0.8773924,0.74359035,0.61592144,0.5465605,0.44798824,0.1129767,0.13533856,0.27866763,0.2918107,0.14499873,0.23206471,0.113702334,0.100810975,0.3704591,0.28310934,0.592364,0.50857145,0.4575817,0.41987082
24,24,Adam Wainwright,STL,0.49566,0.89888495,0.7641985,0.615922,0.58006924,0.33221623,0.09844207,0.12530103,0.25981954,0.24860184,0.12112094,0.23206471,0.09589859,0.101818636,0.3704591,0.31621492,0.7230847,0.66538644,0.6491043,0.5756673
25,25,Max Fried,ATL,0.44552276,0.8130998,0.73196477,0.61592126,0.5238923,0.39149678,0.103169076,0.11443788,0.28051326,0.25672704,0.12578881,0.23206471,0.09932506,0.097631246,0.3704591,0.28703114,0.66253924,0.62991166,0.6318357,0.57250524
26,26,Tyler Mahle,CIN,0.4289093,0.8952283,0.7641957,0.6159219,0.6063707,0.45731527,0.12247779,0.13441758,0.2583305,0.2301359,0.1278087,0.23206471,0.10088255,0.10234862,0.3704591,0.2839117,0.65083647,0.61312366,0.6235241,0.56148845
27,27,Luis Castillo,CIN,0.45217356,0.89873624,0.7641967,0.6159219,0.65896845,0.3997251,0.1355567,0.112780325,0.20155707,0.25275153,0.13845225,0.23206471,0.106201515,0.09759863,0.3704591,0.3149179,0.6533828,0.57030106,0.56950283,0.43086475
28,28,German Marquez,COL,0.47011408,0.8783597,0.7641964,0.6159219,0.69315696,0.39732474,0.13716769,0.12911753,0.19562928,0.28050396,0.14657108,0.23206471,0.110182814,0.104637966,0.3704591,0.33667558,0.60876167,0.5567797,0.541258,0.4149019
29,29,Antonio Senzatela,COL,0.45283678,0.875003,0.73307425,0.615917,0.54530895,0.26950467,0.101485625,0.11419638,0.23476897,0.3205341,0.14960554,0.23206471,0.121394806,0.10403522,0.3704591,0.3526621,0.56685024,0.5044469,0.420233,0.32131025
30,30,Joe Musgrove,SDP,0.44159514,0.8646683,0.7641945,0.6159219,0.60605866,0.45620424,0.111176826,0.13296258,0.26721042,0.23405442,0.12179114,0.23206471,0.09913792,0.10218303,0.3704591,0.2783156,0.6614074,0.62833554,0.6197769,0.5343906
31,31,Marcus Stroman,NYM,0.4140678,0.8754898,0.764194,0.6159217,0.58393246,0.3430912,0.10235087,0.11462163,0.25893864,0.2591376,0.12983532,0.23206471,0.101418406,0.09689928,0.3704591,0.30893973,0.6352227,0.57396483,0.5731375,0.43166602
32,32,Clayton Kershaw,LAD,0.4254467,0.61566746,0.56414074,0.58615834,0.3454188,0.48158732,0.10098873,0.13104591,0.3371425,0.23395164,0.12612154,0.23206471,0.1056282,0.094369285,0.3704591,0.21624926,0.522237,0.52202684,0.45114753,0.450051
33,33,Chris Bassitt,OAK,0.4559653,0.77555287,0.69809234,0.61592036,0.47193435,0.39699072,0.10319217,0.11768391,0.2696994,0.23127387,0.1220802,0.23206471,0.09868775,0.09824976,0.3704591,0.28706694,0.63471955,0.62307644,0.5994768,0.5755841
34,34,Lance McCullers Jr.,HOU,0.48516613,0.8236495,0.7209893,0.61592144,0.58842987,0.4580007,0.15903945,0.105976634,0.19297074,0.216201,0.13520421,0.23206471,0.101508595,0.09949012,0.3704591,0.29407498,0.5861809,0.60722923,0.58594257,0.5355882
35,35,Sean Manaea,OAK,0.45172155,0.89498526,0.76419604,0.6159219,0.6081899,0.40923503,0.093845285,0.1554274,0.3125312,0.2845997,0.12883142,0.23206471,0.10556257,0.103435196,0.3704591,0.27889687,0.65893185,0.59149057,0.5735625,0.44103053
