,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,last_name,first_name,player_id_x,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa,player_id_y,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Peraza, José,606299,570,15.0,37.7,108.7,85.8,87.3,85.9,426.0,177.0,391.0,134,23.6,14,2.5,2.0,606299,2018,683,570,0.288,0.273,0.0149999999999999,0.416,0.383,0.0329999999999999,0.319,0.304,0.015
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Lindor, Francisco,596019,560,14.7,34.3,114.5,90.6,94.3,88.3,445.0,189.0,400.0,227,41.0,52,9.3,7.0,596019,2018,745,560,0.277,0.289,-0.0119999999999999,0.519,0.512,0.007,0.368,0.375,-0.007
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Markakis, Nick,455976,552,10.1,38.4,109.3,90.6,92.2,90.2,429.0,170.0,398.0,229,41.6,17,3.1,2.4,455976,2018,705,552,0.297,0.293,0.004,0.44,0.425,0.015,0.345,0.345,0.0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Turner, Trea,607208,534,9.3,28.8,112.3,89.1,92.5,87.3,427.0,158.0,396.0,206,38.6,31,5.8,4.2,607208,2018,740,534,0.271,0.273,-0.002,0.416,0.415,0.001,0.331,0.335,-0.004
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Machado, Manny,592518,533,14.4,33.8,114.8,91.6,95.1,90.1,444.0,184.0,403.0,257,48.2,60,11.3,8.5,592518,2018,709,533,0.297,0.284,0.013,0.538,0.512,0.026,0.377,0.369,0.008
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Albies, Ozzie,645277,527,16.1,34.0,109.9,86.8,91.7,82.8,427.0,176.0,389.0,155,29.4,25,4.7,3.7,645277,2018,684,527,0.261,0.25,0.011,0.452,0.403,0.0489999999999999,0.324,0.305,0.019
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Segura, Jean,516416,527,7.8,29.8,111.6,87.7,90.3,86.9,420.0,145.0,399.0,170,32.3,19,3.6,3.0,516416,2018,632,527,0.304,0.273,0.0309999999999999,0.415,0.393,0.0219999999999999,0.327,0.31,0.017
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Merrifield, Whit,593160,526,16.9,40.7,106.4,87.0,91.1,83.2,430.0,183.0,401.0,163,31.2,24,4.6,3.4,593160,2018,707,526,0.304,0.281,0.0229999999999999,0.438,0.428,0.01,0.349,0.343,0.0059999999999999
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,Inciarte, Ender,542255,519,10.9,32.6,105.0,84.9,87.9,83.0,433.0,156.0,380.0,97,18.7,8,1.5,1.2,542255,2018,660,519,0.265,0.254,0.011,0.38,0.341,0.0389999999999999,0.308,0.296,0.012
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,Brantley, Michael,488726,517,9.5,38.1,108.6,90.2,91.9,89.5,424.0,169.0,392.0,194,38.4,18,3.5,2.9,488726,2018,630,517,0.309,0.306,0.003,0.468,0.452,0.016,0.359,0.357,0.002
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Simmons, Andrelton,592743,516,7.8,27.9,109.7,88.2,92.0,87.4,402.0,149.0,382.0,186,36.3,21,4.1,3.5,592743,2018,600,516,0.292,0.275,0.0169999999999999,0.417,0.388,0.0289999999999999,0.326,0.316,0.01
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,Bregman, Alex,608324,512,16.8,37.9,107.6,89.4,93.5,86.3,420.0,190.0,384.0,204,39.9,39,7.6,5.5,608324,2018,705,512,0.286,0.267,0.0189999999999999,0.532,0.464,0.068,0.396,0.369,0.027
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,Semien, Marcus,543760,510,15.5,34.9,107.1,86.8,91.3,83.3,428.0,177.0,393.0,163,32.1,23,4.5,3.3,543760,2018,703,510,0.255,0.245,0.01,0.388,0.38,0.008,0.307,0.305,0.002
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,Ramírez, José,608070,504,19.0,34.3,110.2,89.0,92.4,86.9,434.0,196.0,388.0,173,35.1,42,8.3,6.0,608070,2018,698,504,0.27,0.261,0.009,0.552,0.47,0.082,0.391,0.365,0.026
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,Blackmon, Charlie,453568,495,12.0,34.9,110.4,87.5,91.2,84.3,447.0,173.0,407.0,174,35.2,32,6.5,4.6,453568,2018,696,495,0.291,0.276,0.0149999999999999,0.502,0.445,0.0569999999999999,0.368,0.346,0.022
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,Rizzo, Anthony,519203,495,14.7,36.2,112.6,90.1,93.2,88.4,453.0,185.0,404.0,200,40.6,32,6.5,4.8,519203,2018,665,495,0.283,0.291,-0.008,0.47,0.47,0.0,0.359,0.367,-0.008
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,Freeman, Freddie,518692,492,14.5,44.7,109.6,89.1,93.7,83.0,441.0,190.0,402.0,196,39.8,46,9.3,6.5,518692,2018,707,492,0.309,0.298,0.011,0.505,0.533,-0.028,0.378,0.388,-0.01
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,Jones, Adam,430945,491,13.2,35.6,108.1,88.3,91.5,86.9,422.0,174.0,396.0,162,33.1,24,4.9,3.9,430945,2018,613,491,0.281,0.269,0.012,0.419,0.411,0.008,0.315,0.311,0.004
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,Strange-Gordon, Dee,543829,490,5.8,30.2,104.7,83.2,85.1,82.3,388.0,130.0,365.0,61,12.5,1,0.2,0.2,543829,2018,588,490,0.268,0.265,0.003,0.349,0.325,0.0239999999999999,0.277,0.272,0.005
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,Benintendi, Andrew,643217,482,12.8,37.3,109.5,88.6,91.9,85.2,437.0,182.0,394.0,162,33.7,31,6.4,4.7,643217,2018,661,482,0.29,0.282,0.008,0.465,0.449,0.016,0.357,0.353,0.004
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,Gurriel, Yuli,493329,481,11.5,32.6,107.9,89.3,89.7,91.0,427.0,165.0,378.0,176,36.6,9,1.9,1.6,493329,2018,573,481,0.291,0.258,0.0329999999999999,0.428,0.36,0.068,0.323,0.29,0.033
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,Andújar, Miguel,609280,480,12.3,34.6,110.4,89.2,92.7,87.8,428.0,169.0,389.0,175,36.5,30,6.3,5.0,609280,2018,606,480,0.297,0.275,0.0219999999999999,0.527,0.434,0.093,0.361,0.322,0.0389999999999999
