,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,teamIDfg,Season,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GB,FB,LD,IFFB,Balls,Strikes,Pitches,RS,IFH,BU,BUH,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Starting,Start-IP,Relieving,Relief-IP,RAR,WAR,Dollars,tERA,xFIP,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,FB% 2,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,HLD,SD,MD,ERA-,FIP-,xFIP-,K%,BB%,SIERA,RS/9,E-F,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,Age Rng,K-BB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,kwERA,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,LD%+,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xERA
0,0,0,0,0,0,0,22,2021,LAD,28,106,56,3.03,762,162,1,0,56,26,1452.0,5948,1107,561,489,161,486,43,63,52,9,1599,1660,1360,708,157,7816,15110,22926,830,114,67,16,9.91,3.01,3.29,6.86,1.0,0.205,1.1,0.26,0.765,3.54,1.22,0.19,0.445,0.365,0.115,0.118,0.069,0.239,192.5,838.9,63.6,602.6,256.1,27.1,$216.6,3.52,3.75,20.23,-94.32,114.54,159.75,16.6,1.05,0.97,1.14,1.22,600,15.41,3.9,0.471,94.4,0.1969999999999999,85.2,0.108,90.6,0.1369999999999999,81.1,0.077,86.6,0.01,83.4,,,0.0069999999999999,,54.7,66.8,27.0,31.0,9.3,4.3,,0.51,1.48,1.09,0.99,0.53,1.99,,0.325,0.6809999999999999,0.482,0.583,0.8340000000000001,0.7390000000000001,0.44,0.633,0.126,103,188,85,74,83,88,0.2689999999999999,0.0819999999999999,3.7,5.14,-0.51,0.34,,0.108,0.009,,0.13,0.196,0.0819999999999999,0.0559999999999999,,0.078,,,,94.1,,90.6,83.3,,95.2,85.1,80.3,82.3,,86.5,,,-1.5,,1.8,-6.9,,-2.8,2.4,-3.6,5.2,,0.1,,,10.2,,5.4,2.9,,6.2,1.4,-3.3,-8.1,,4.1,,,54.7,,25.9,4.4,,6.1,71.4,24.9,6.6,,11.9,,,0.7,,1.05,2.05,,0.2,1.59,1.32,0.51,,0.66,,,0.282,0.664,0.482,0.509,0.8270000000000001,0.738,0.523,24.3,32.2,8.7,-3.6,5.1,22 - 36,0.187,0.396,0.354,0.25,0.192,0.515,0.293,3.91,0.3779999999999999,0.076,,0.1369999999999999,0.347,0.108,0.011,,,0.125,0.1969999999999999,0.0,86.5,,81.1,94.1,90.7,83.7,,,95.3,85.1,90.0,0.3,,0.2,-1.5,2.3,-6.5,,,-2.3,2.6,-2.9,2.8,,-6.9,9.1,4.3,1.4,,,4.7,-0.1,2.8,10.6,,32.4,45.3,28.7,5.0,,,13.2,70.0,0.0,0.61,,1.03,0.57,1.16,2.09,,,0.46,1.55,0.23,0.286,0.655,0.482,0.511,0.826,0.738,0.529,24.3,4.4,111,88,124,83,81,86,85,90,106,115,92,91,102,102,86,100,100,100,116,100,91,87.2,12.4,238,0.063,118.4,1313,0.346,3800,0.173,0.299,
1,1,1,1,1,1,1,30,2021,SFG,29,107,55,3.25,761,162,2,2,56,28,1455.0,6002,1254,594,525,151,416,20,63,44,7,1425,1837,1381,812,126,7755,15104,22859,804,145,65,9,8.81,2.57,3.43,7.76,0.93,0.227,1.15,0.279,0.7490000000000001,3.55,1.33,0.201,0.456,0.3429999999999999,0.091,0.109,0.079,0.138,159.0,828.3,52.9,619.0,211.9,22.0,$176.0,3.7,3.87,16.58,-98.77,115.35,121.51,12.28,1.03,0.96,1.16,1.23,599,15.76,0.33,0.51,92.7,0.235,83.0,0.0409999999999999,88.0,0.035,77.8,0.127,84.5,0.051,83.7,,,0.003,,98.5,42.0,-7.8,-5.0,-3.0,13.7,,0.84,0.78,-0.83,-0.62,-0.1,1.18,,0.3229999999999999,0.6940000000000001,0.488,0.61,0.852,0.763,0.4429999999999999,0.634,0.1159999999999999,108,189,83,79,87,91,0.237,0.069,3.86,4.97,-0.3,0.359,,0.013,0.049,,0.151,0.262,0.0279999999999999,0.009,,0.129,,,,93.0,,89.5,83.7,,92.1,83.4,75.9,83.0,,84.5,,,-1.5,,1.0,-7.7,,-0.7,1.7,1.8,3.0,,0.4,,,7.9,,3.5,1.7,,4.6,1.3,-5.8,-3.3,,2.4,,,64.5,,-0.5,17.9,,48.3,36.3,-2.8,-1.5,,-3.0,,,0.78,,-0.16,1.61,,1.4,0.61,-0.44,-0.73,,-0.1,,,0.284,0.6679999999999999,0.488,0.541,0.8440000000000001,0.7609999999999999,0.53,23.2,28.0,2.8,3.3,6.0,21 - 37,0.168,0.382,0.345,0.2739999999999999,0.1669999999999999,0.534,0.299,4.14,0.332,0.125,,0.067,0.327,0.022,0.053,,,0.176,0.23,,84.6,,79.9,93.7,93.1,83.8,,,90.8,83.6,,0.6,,4.1,-1.4,-0.1,-7.0,,,-0.8,1.4,,1.0,,-4.8,8.2,4.0,0.4,,,1.8,0.5,,0.9,,10.0,63.3,1.0,13.6,,,47.5,22.3,,0.03,,0.65,0.85,0.21,1.13,,,1.18,0.42,,0.291,0.659,0.488,0.546,0.8440000000000001,0.7609999999999999,0.534,23.2,5.5,98,76,130,94,76,95,89,97,104,102,78,97,105,96,80,96,98,109,100,104,93,88.6,10.8,262,0.064,115.7,1586,0.387,4098,0.17,0.286,
2,2,2,2,2,2,2,23,2021,MIL,29,95,67,3.5,695,162,2,1,44,27,1436.0,5989,1156,623,558,168,537,19,77,60,9,1618,1642,1263,785,113,8754,15213,23967,738,125,66,12,10.14,3.37,3.01,7.25,1.05,0.215,1.18,0.275,0.747,3.72,1.3,0.213,0.445,0.342,0.089,0.133,0.076,0.182,187.5,845.8,29.0,583.2,216.5,23.4,$187.2,4.04,3.75,16.91,-93.51,110.42,118.53,11.91,1.0,0.93,1.07,1.13,533,14.87,2.05,0.505,93.3,0.166,83.6,0.0819999999999999,93.2,0.092,79.9,0.152,85.9,0.002,86.0,0.001,60.1,0.002,,54.0,20.9,21.3,13.8,18.0,-2.4,-1.7,0.45,0.52,1.08,0.62,0.5,-6.56,-14.57,0.314,0.6779999999999999,0.4639999999999999,0.6,0.826,0.736,0.41,0.604,0.123,77,161,83,83,87,88,0.27,0.09,3.77,4.63,-0.22,0.325,,0.084,0.001,,0.177,0.153,0.098,0.01,,0.153,,0.001,,93.4,,93.0,84.1,,93.2,83.8,80.0,77.1,,85.9,,60.0,-1.5,,2.0,-5.6,,-4.3,2.6,2.0,-2.2,,-3.6,,1.0,9.3,,6.6,3.5,,5.2,0.9,-4.3,-6.4,,2.7,,6.8,52.0,,22.2,-3.4,,14.5,33.2,5.6,-0.4,,27.1,,-1.7,0.67,,1.11,-13.13,,0.34,0.91,0.24,-0.17,,0.74,,-14.55,0.271,0.657,0.4639999999999999,0.524,0.8220000000000001,0.735,0.5,23.7,26.6,3.9,-0.8,3.2,23 - 38,0.18,0.39,0.366,0.244,0.18,0.515,0.306,3.99,0.3879999999999999,0.152,,0.0969999999999999,0.34,0.083,0.001,0.001,,0.165,0.162,0.0,85.8,,79.9,93.2,93.0,83.8,60.1,,93.4,83.7,88.3,-3.6,,1.9,-1.2,2.1,-2.9,2.4,,-4.8,2.9,3.7,1.2,,-6.7,8.1,5.4,0.7,5.7,,3.9,-0.6,2.1,25.8,,17.3,45.3,22.1,-2.2,-1.7,,21.4,21.1,0.1,0.71,,0.75,0.56,1.11,-12.93,-14.55,,0.54,0.54,0.79,0.275,0.6509999999999999,0.4639999999999999,0.5329999999999999,0.8190000000000001,0.735,0.502,23.7,12.5,113,99,114,88,86,90,91,96,103,116,101,102,102,96,97,98,104,98,108,100,95,87.7,11.5,252,0.067,115.9,1346,0.358,3757,0.1669999999999999,0.289,
3,3,3,3,3,3,3,12,2021,TBR,29,100,62,3.67,693,162,1,0,42,22,1455.2,5998,1264,651,594,184,436,27,55,64,6,1478,1654,1500,829,165,7902,15268,23170,857,106,45,14,9.14,2.7,3.39,7.81,1.14,0.23,1.17,0.281,0.737,3.79,1.1,0.208,0.415,0.377,0.11,0.123,0.064,0.311,106.8,750.8,76.1,696.7,182.9,18.9,$151.3,3.83,3.97,10.31,-100.0,110.31,69.83,7.75,0.99,0.96,1.13,1.21,531,9.96,0.42,0.432,93.6,0.272,84.0,0.119,85.7,0.066,77.8,0.102,83.3,0.009,87.5,,,0.004,,72.6,46.8,-8.1,12.4,-6.6,-5.0,,0.73,0.74,-0.29,0.81,-0.28,-2.32,,0.347,0.691,0.493,0.62,0.838,0.75,0.424,0.632,0.123,85,182,95,89,92,93,0.246,0.073,3.84,5.3,-0.12,0.304,,0.124,,,0.125,0.245,0.085,0.002,0.001,0.111,0.0,,,94.5,,85.7,,,92.1,85.0,76.0,84.0,48.2,83.6,82.3,,-0.7,,0.3,,,1.5,2.6,-4.5,2.9,3.1,2.4,-5.9,,10.4,,4.4,,,4.5,0.6,-4.3,-5.6,9.2,4.6,-1.1,,66.1,,-3.6,,,18.5,36.1,25.3,1.8,-0.7,-10.3,0.1,,0.94,,-0.13,,,0.64,0.64,1.29,4.83,-3.28,-0.4,12.0,,0.3,0.6779999999999999,0.493,0.5489999999999999,0.833,0.748,0.511,23.5,21.1,3.7,-1.5,2.2,21 - 41,0.174,0.3929999999999999,0.3429999999999999,0.263,0.162,0.519,0.318,4.07,0.35,0.111,0.0,0.067,0.326,0.126,0.0,,0.0,0.0969999999999999,0.272,0.0,83.9,66.8,77.6,94.1,86.6,85.8,,83.1,93.0,84.4,86.8,2.3,-11.1,-3.9,0.2,0.3,-2.1,,-5.7,-0.3,2.1,-3.0,2.7,-11.5,-8.3,8.8,3.4,-0.2,,-2.8,1.8,-0.9,-0.8,-9.7,0.0,17.9,61.8,-4.2,0.4,,0.1,14.3,51.3,0.0,-0.38,-2.85,1.15,0.82,-0.14,12.27,,12.0,0.63,0.81,0.28,0.303,0.669,0.493,0.55,0.831,0.748,0.521,23.5,5.1,103,83,123,93,89,94,90,96,102,107,85,102,98,101,91,98,99,105,99,101,99,88.5,13.6,341,0.085,118.6,1491,0.37,4029,0.1639999999999999,0.288,
4,4,4,4,4,4,4,4,2021,CHW,28,93,69,3.73,674,162,4,3,43,25,1403.1,5861,1205,636,581,182,485,16,51,84,6,1588,1521,1426,748,161,8663,15050,23713,796,116,35,13,10.18,3.11,3.27,7.73,1.17,0.226,1.2,0.288,0.7440000000000001,3.74,1.07,0.2019999999999999,0.412,0.386,0.113,0.128,0.076,0.371,185.2,853.0,78.0,544.5,263.1,27.6,$220.7,3.91,3.85,7.7,-96.63,104.33,90.08,8.85,0.98,0.92,1.06,1.12,512,9.55,-1.7,0.539,94.7,0.21,85.8,0.052,86.0,0.066,82.3,0.126,82.6,0.006,86.8,0.0,61.0,0.002,,57.0,44.7,-4.5,-2.7,-2.8,0.0,0.5,0.45,0.9,-0.36,-0.17,-0.09,0.01,4.7,0.319,0.7040000000000001,0.48,0.5820000000000001,0.821,0.728,0.417,0.594,0.13,86,128,89,86,84,90,0.271,0.083,3.73,5.1,-0.01,0.4379999999999999,,0.077,,,0.098,0.187,0.039,0.026,0.0,0.133,,0.001,,95.4,,87.0,,,91.0,85.3,83.1,81.3,40.8,82.7,,61.0,-2.8,,0.4,,,4.3,0.0,1.9,3.1,9.8,-1.4,,-2.3,10.2,,3.1,,,2.9,0.8,-4.0,-8.5,6.7,5.8,,8.0,70.2,,-1.6,,,1.5,48.5,-4.8,3.5,-0.7,-1.0,,0.7,0.68,,-0.09,,,0.06,1.1,-0.53,0.57,-22.63,-0.03,,6.14,0.281,0.679,0.48,0.514,0.816,0.728,0.501,24.0,26.0,1.6,-3.2,-1.6,22 - 34,0.188,0.405,0.337,0.258,0.176,0.51,0.314,3.89,0.385,0.132,,0.06,0.44,0.081,0.001,,,0.099,0.188,0.0,82.8,,82.4,95.5,87.0,85.9,,,91.1,85.3,92.3,-1.2,,2.7,-2.5,0.7,-6.5,,,4.0,0.2,15.3,4.3,,-7.5,9.1,1.8,2.7,,,1.5,-1.0,17.3,0.9,,-1.0,71.8,3.2,-0.2,,,0.7,42.2,0.1,0.03,,-0.07,0.69,0.17,-1.01,,,0.03,0.95,3.35,0.286,0.669,0.48,0.516,0.816,0.728,0.506,24.0,-13.3,115,95,120,91,91,93,92,99,103,118,97,99,97,104,95,101,97,103,107,99,98,88.8,14.0,286,0.077,117.4,1431,0.3829999999999999,3737,0.153,0.284,
5,5,5,5,5,5,5,9,2021,NYY,28,92,70,3.76,674,162,3,2,47,26,1435.1,5999,1243,669,600,196,492,10,56,85,8,1569,1611,1522,716,178,8455,15307,23762,711,126,30,9,9.84,3.08,3.19,7.79,1.23,0.228,1.21,0.284,0.74,3.9,1.06,0.186,0.419,0.395,0.1169999999999999,0.129,0.078,0.3,138.6,826.3,70.3,600.4,208.8,21.7,$173.3,3.85,4.0,9.29,-107.93,117.22,73.65,7.16,1.06,1.01,1.25,1.37,512,8.79,-0.02,0.476,94.7,0.152,85.3,0.069,88.1,0.162,81.4,0.134,86.5,0.006,87.6,,,0.002,,-0.9,13.1,8.5,14.3,34.4,2.6,,-0.01,0.36,0.51,0.37,1.08,1.7,,0.3379999999999999,0.695,0.485,0.61,0.8190000000000001,0.733,0.411,0.62,0.129,80,188,86,88,90,93,0.262,0.0819999999999999,3.81,4.46,-0.14,0.315,,0.084,0.0069999999999999,,0.16,0.147,0.133,0.022,,0.133,,,,94.8,,87.5,87.4,,94.5,84.8,81.3,83.3,,86.4,,,-1.9,,-1.1,-0.3,,-3.6,-0.1,2.8,5.6,,-2.3,,,10.2,,4.6,-0.3,,6.0,1.2,-2.5,-6.4,,5.5,,,3.0,,13.3,3.1,,12.8,20.5,15.6,-4.0,,40.3,,,0.04,,0.67,1.97,,0.34,0.59,0.5,-0.77,,1.29,,,0.293,0.6779999999999999,0.484,0.544,0.816,0.733,0.497,24.1,21.7,2.3,-2.2,0.1,22 - 38,0.18,0.409,0.342,0.25,0.192,0.505,0.304,4.0,0.376,0.132,,0.127,0.318,0.091,0.0069999999999999,,,0.157,0.168,0.0,86.5,,81.4,94.9,87.7,87.5,,,94.6,84.6,89.0,-2.2,,2.0,-1.7,-1.1,-0.3,,,-3.5,1.8,3.8,4.0,,-5.6,9.1,3.2,-1.9,,,4.6,-0.4,1.2,40.3,,4.8,8.0,12.3,3.3,,,8.2,28.2,-0.1,1.29,,0.16,0.11,0.57,2.14,,,0.22,0.71,-1.12,0.297,0.669,0.484,0.5429999999999999,0.816,0.733,0.504,24.1,3.0,111,95,117,92,96,94,93,97,103,113,96,91,99,106,96,102,98,99,117,98,94,87.8,13.8,299,0.077,117.2,1405,0.362,3882,0.158,0.287,
6,6,6,6,6,6,6,21,2021,HOU,28,95,67,3.8,674,162,2,0,34,27,1445.0,6060,1231,658,610,187,549,12,70,72,4,1456,1761,1379,803,145,8912,15005,23917,863,104,42,10,9.07,3.42,2.65,7.67,1.16,0.226,1.23,0.275,0.7509999999999999,4.12,1.28,0.204,0.447,0.35,0.105,0.136,0.059,0.238,130.7,878.4,34.4,558.2,165.1,16.9,$134.9,4.33,4.12,7.33,-100.49,107.82,69.54,6.92,0.98,0.91,1.09,1.16,512,7.63,-0.12,0.492,92.9,0.185,83.7,0.063,88.2,0.14,78.8,0.11,85.5,0.011,88.0,,,0.002,,16.1,27.3,2.5,17.1,5.6,3.2,,0.14,0.62,0.17,0.51,0.21,1.26,,0.305,0.6779999999999999,0.4579999999999999,0.597,0.848,0.7490000000000001,0.411,0.5770000000000001,0.115,68,119,89,88,97,96,0.24,0.091,4.11,5.38,-0.32,0.362,,0.0579999999999999,0.0279999999999999,,0.13,0.185,0.103,0.0409999999999999,0.0,0.093,,,,93.0,,87.8,86.0,,92.7,83.9,77.4,82.4,52.2,85.6,,,-3.8,,1.3,-6.5,,-1.4,3.6,1.6,5.9,1.6,-6.5,,,9.8,,4.8,3.4,,3.6,1.5,-6.6,-6.6,11.0,3.4,,,23.8,,4.1,-2.2,,0.1,30.1,13.5,9.9,0.1,13.8,,,0.27,,0.3,-0.33,,0.0,0.68,0.55,1.01,4.48,0.62,,,0.271,0.649,0.4579999999999999,0.529,0.841,0.748,0.496,24.3,23.5,5.3,1.3,6.6,24 - 37,0.15,0.3939999999999999,0.353,0.252,0.163,0.537,0.3,4.36,0.362,0.093,0.0,0.142,0.345,0.049,0.0279999999999999,,,0.154,0.187,0.0,85.7,61.9,79.0,93.2,87.1,86.0,,,92.8,83.9,88.1,-6.2,5.6,3.0,-3.2,1.4,-6.4,,,-2.2,4.1,-3.9,1.8,-5.7,-8.4,8.6,2.8,2.0,,,3.2,0.1,6.9,11.8,-0.3,24.0,23.2,8.4,-2.2,,,1.6,26.2,0.0,0.53,-3.22,0.7,0.28,0.72,-0.33,,,0.04,0.58,0.06,0.275,0.642,0.4579999999999999,0.529,0.8420000000000001,0.748,0.499,24.3,0.8,103,105,97,91,91,93,95,94,104,104,107,99,106,94,101,98,102,101,100,104,93,88.8,11.7,291,0.073,119.6,1508,0.3779999999999999,3985,0.168,0.282,
7,7,7,7,7,7,7,16,2021,ATL,29,88,73,3.89,742,161,2,2,40,25,1410.2,5944,1237,656,610,183,516,34,66,73,8,1417,1685,1351,820,116,8315,14914,23229,790,104,87,24,9.04,3.29,2.75,7.89,1.17,0.231,1.24,0.28,0.7440000000000001,4.09,1.25,0.213,0.437,0.35,0.086,0.135,0.062,0.276,116.1,834.2,33.1,569.7,149.3,15.5,$124.2,4.53,4.09,7.46,-103.59,111.04,74.78,7.4,1.04,0.94,1.12,1.18,581,9.11,-1.92,0.493,94.2,0.181,85.5,0.0559999999999999,87.7,0.1889999999999999,78.8,0.069,86.8,0.011,87.2,,,0.005,,4.7,33.9,2.6,14.8,7.2,-2.1,,0.04,0.81,0.2,0.34,0.45,-0.78,,0.318,0.691,0.476,0.585,0.851,0.748,0.423,0.604,0.12,112,171,92,91,98,96,0.238,0.087,4.09,5.04,-0.19,0.397,,0.081,0.0069999999999999,,0.095,0.157,0.1889999999999999,,,0.074,,,,94.3,,87.9,87.2,,93.6,85.1,78.7,,,86.8,,,-1.0,,0.1,-4.3,,-6.9,-0.8,2.1,,,-5.8,,,9.4,,4.3,1.1,,5.1,-0.4,-4.7,,,5.1,,,15.9,,8.0,0.4,,-0.6,32.8,18.3,,,6.5,,,0.17,,0.42,0.21,,-0.03,0.9,0.42,,,0.38,,,0.278,0.667,0.476,0.503,0.846,0.747,0.509,23.0,22.4,2.4,4.5,6.9,22 - 37,0.152,0.4039999999999999,0.354,0.242,0.1639999999999999,0.52,0.316,4.33,0.356,0.063,,0.193,0.405,0.046,0.018,,,0.087,0.187,0.0,86.8,,78.8,94.3,87.7,87.0,,,93.5,85.7,93.8,-5.2,,2.1,-1.1,1.4,-6.9,,,-6.8,-1.1,-3.0,4.1,,-6.4,8.2,4.9,0.4,,,3.4,-1.3,8.0,8.2,,18.1,16.6,1.4,-1.5,,,-1.8,36.0,-0.1,0.57,,0.4,0.18,0.13,-0.35,,,-0.09,0.83,-5.06,0.285,0.657,0.476,0.508,0.847,0.748,0.512,23.0,-0.4,101,97,104,96,95,97,96,97,103,102,98,102,100,98,99,102,100,97,99,101,98,89.0,11.1,307,0.078,119.2,1515,0.384,3945,0.161,0.281,
8,8,8,8,8,8,8,25,2021,NYM,29,77,85,3.9,705,162,2,1,41,27,1379.1,5785,1221,668,597,190,475,21,70,53,1,1453,1577,1363,770,127,7902,14503,22405,636,118,72,16,9.48,3.1,3.06,7.97,1.24,0.233,1.23,0.287,0.732,4.04,1.16,0.208,0.425,0.367,0.093,0.139,0.075,0.222,109.9,781.1,40.9,586.8,150.8,16.3,$130.5,4.02,3.99,3.43,-103.35,106.78,-16.64,-1.32,1.02,0.95,1.12,1.19,543,2.94,0.43,0.5539999999999999,94.1,0.209,85.8,0.053,88.1,0.05,75.8,0.115,86.1,0.02,88.8,,,0.004,,40.6,23.9,-6.3,-2.0,-3.9,-4.7,,0.33,0.51,-0.53,-0.18,-0.15,-1.05,,0.321,0.69,0.479,0.598,0.8370000000000001,0.746,0.429,0.619,0.122,72,138,91,99,98,94,0.251,0.0819999999999999,3.9,4.15,-0.14,0.3379999999999999,,0.051,0.038,,0.215,0.205,0.061,0.0,,0.088,,,,94.5,,88.1,87.7,,93.4,86.2,76.1,80.8,,86.8,,,-3.8,,1.4,-7.8,,-3.8,2.0,-1.1,5.6,,-4.7,,,9.3,,2.8,2.6,,4.4,1.8,-5.6,0.9,,3.7,,,24.8,,3.5,-0.4,,27.7,16.7,2.0,0.1,,-7.3,,,0.33,,0.31,-0.04,,0.58,0.36,0.15,1.1,,-0.37,,,0.2769999999999999,0.6709999999999999,0.479,0.536,0.826,0.745,0.514,23.2,14.1,0.6,-2.8,-2.2,24 - 41,0.1689999999999999,0.382,0.358,0.26,0.16,0.517,0.3229999999999999,4.12,0.366,0.1159999999999999,,0.054,0.34,0.035,0.019,,,0.215,0.222,,86.0,,75.2,94.5,88.2,89.3,,,93.5,86.4,,-4.6,,-2.1,-3.3,0.4,-7.6,,,-3.8,2.7,,1.5,,-7.7,8.3,1.6,2.6,,,3.2,0.6,,-0.5,,2.8,20.4,8.5,-2.4,,,27.5,13.3,,-0.02,,0.23,0.27,1.09,-0.57,,,0.57,0.27,,0.282,0.6609999999999999,0.479,0.534,0.828,0.745,0.52,23.2,2.2,106,91,114,97,101,98,95,100,101,108,93,100,98,103,102,96,102,104,96,101,101,88.8,12.3,302,0.08,117.9,1456,0.384,3787,0.1639999999999999,0.286,
9,9,9,9,9,9,9,14,2021,TOR,29,91,71,3.91,698,162,1,1,34,18,1405.1,5916,1257,663,610,209,473,10,75,54,4,1468,1668,1443,767,157,8506,15043,23549,846,128,22,8,9.4,3.03,3.1,8.05,1.34,0.234,1.23,0.284,0.755,4.18,1.16,0.198,0.43,0.372,0.109,0.145,0.077,0.364,125.5,833.3,13.4,562.0,138.8,14.5,$116.2,4.47,4.06,8.04,-94.12,102.16,94.26,9.02,0.92,0.88,0.98,1.01,536,8.39,0.31,0.5479999999999999,93.8,0.173,85.7,0.0559999999999999,87.6,0.103,79.3,0.113,83.4,0.0069999999999999,86.9,,,0.002,,21.4,17.4,2.8,-16.1,4.7,-3.8,,0.17,0.43,0.21,-0.66,0.18,-2.4,,0.317,0.691,0.473,0.625,0.8420000000000001,0.757,0.417,0.6,0.115,58,129,79,87,98,95,0.248,0.08,3.92,5.42,-0.28,0.354,,0.0579999999999999,0.003,,0.193,0.177,0.077,0.021,,0.1159999999999999,,,,93.6,,87.6,86.8,,93.9,85.6,78.7,80.1,,83.5,,,0.4,,1.0,-6.1,,0.9,2.1,-0.4,1.9,,2.5,,,9.5,,4.2,5.1,,6.0,1.9,-5.2,-3.7,,4.2,,,5.6,,8.5,-0.2,,27.5,10.2,-9.7,-2.0,,2.3,,,0.07,,0.62,-0.34,,0.6,0.25,-0.54,-0.4,,0.08,,,0.278,0.6609999999999999,0.473,0.551,0.8370000000000001,0.755,0.508,23.8,22.6,2.3,5.8,8.1,23 - 37,0.168,0.4039999999999999,0.345,0.251,0.166,0.526,0.309,4.13,0.363,0.111,,0.104,0.355,0.05,0.008,,,0.193,0.179,0.0,83.3,,79.1,93.5,87.5,86.0,,,93.8,85.7,87.5,2.7,,0.7,0.3,0.8,-6.3,,,0.9,1.9,-2.0,2.6,,-6.5,8.3,3.2,2.7,,,4.7,0.5,3.9,5.8,,-14.0,3.4,9.0,-0.9,,,26.3,13.1,-0.4,0.22,,-0.57,0.04,0.77,-0.48,,,0.58,0.31,-6.18,0.283,0.655,0.473,0.556,0.8370000000000001,0.755,0.51,23.8,5.0,106,93,114,95,104,96,95,97,105,108,94,97,102,100,108,101,99,100,101,102,96,88.9,12.6,330,0.085,120.2,1528,0.392,3900,0.165,0.2789999999999999,
