,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
0,0,0,0,0,0,0,0,0,1,"Friday, Apr 8",BOS,@,NYY,L-wo,5.0,6.0,11.0,0-1,4.0,1.0,King,Crawford,None,3:56,D,46097.0,1.01,-1,
1,1,1,1,1,1,1,1,1,2,"Saturday, Apr 9",BOS,@,NYY,L,2.0,4.0,9.0,0-2,4.0,2.0,Luetge,Pivetta,Chapman,2:58,D,46882.0,0.94,-2,
2,2,2,2,2,2,2,2,2,3,"Sunday, Apr 10",BOS,@,NYY,W,4.0,3.0,9.0,1-2,4.0,2.0,Crawford,Schmidt,Diekman,3:40,N,40108.0,0.9,1,
3,3,3,3,3,3,3,3,3,4,"Monday, Apr 11",BOS,@,DET,L,1.0,3.0,9.0,1-3,4.0,2.0,Fulmer,Davis,Soto,2:50,N,11840.0,0.9,-1,
4,4,4,4,4,4,4,4,4,5,"Tuesday, Apr 12",BOS,@,DET,W,5.0,3.0,9.0,2-3,4.0,2.0,Whitlock,Lange,None,2:49,D,15781.0,0.87,1,
5,5,5,5,5,5,5,5,5,6,"Wednesday, Apr 13",BOS,@,DET,W,9.0,7.0,9.0,3-3,3.0,1.0,Eovaldi,Rodriguez,Robles,3:51,D,10522.0,0.92,2,
6,6,6,6,6,6,6,6,6,7,"Friday, Apr 15",BOS,Home,MIN,L,4.0,8.0,9.0,3-4,4.0,1.5,Ryan,Pivetta,None,3:33,D,36266.0,0.93,-1,
7,7,7,7,7,7,7,7,7,8,"Saturday, Apr 16",BOS,Home,MIN,W,4.0,0.0,9.0,4-4,3.0,0.5,Houck,Gray,None,2:45,D,34990.0,0.94,1,
8,8,8,8,8,8,8,8,8,9,"Sunday, Apr 17",BOS,Home,MIN,W,8.0,1.0,9.0,5-4,2.0,0.5,Strahm,Ober,None,2:51,D,28858.0,0.98,2,
9,9,9,9,9,9,9,9,9,10,"Monday, Apr 18",BOS,Home,MIN,L,3.0,8.0,9.0,5-5,2.0,1.0,Bundy,Hill,None,3:28,D,32514.0,1.01,-1,
10,10,10,10,10,10,10,10,10,11,"Tuesday, Apr 19",BOS,Home,TOR,W,2.0,1.0,9.0,6-5,1.0,Tied,Robles,Garcia,Whitlock,3:10,N,31640.0,1.06,1,
11,11,11,11,11,11,11,11,11,12,"Wednesday, Apr 20",BOS,Home,TOR,L,1.0,6.0,9.0,6-6,4.0,1.0,Berríos,Pivetta,None,3:07,N,33354.0,1.07,-1,
12,12,12,12,12,12,12,12,12,13,"Thursday, Apr 21",BOS,Home,TOR,L,2.0,3.0,9.0,6-7,4.0,2.0,Gausman,Houck,Romano,2:59,D,35792.0,1.02,-2,
13,13,13,13,13,13,13,13,13,14,"Friday, Apr 22",BOS,@,TBR,W,4.0,3.0,9.0,7-7,3.0,2.0,Wacha,Kluber,Barnes,3:21,N,16902.0,0.96,1,
