,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
0,0,0,0,0,0,0,0,0,1,"Friday, Apr 8",CHW,@,DET,L-wo,4.0,5.0,9.0,0-1,3.0,1.0,Soto,Hendriks,None,3:30,D,43480.0,1.01,-1,
1,1,1,1,1,1,1,1,1,2,"Saturday, Apr 9",CHW,@,DET,W,5.0,2.0,9.0,1-1,2.0,1.0,Cease,Mize,Bummer,3:11,D,17469.0,0.95,1,
2,2,2,2,2,2,2,2,2,3,"Sunday, Apr 10",CHW,@,DET,W,10.0,1.0,9.0,2-1,1.0,Tied,Crick,Skubal,None,2:56,D,15712.0,0.99,2,
3,3,3,3,3,3,3,3,3,4,"Tuesday, Apr 12",CHW,Home,SEA,W,3.0,2.0,9.0,3-1,1.0,up 0.5,López,Brash,Hendriks,3:22,D,36948.0,1.01,3,
4,4,4,4,4,4,4,4,4,5,"Wednesday, Apr 13",CHW,Home,SEA,W,6.0,4.0,9.0,4-1,1.0,up 0.5,Keuchel,Ray,Hendriks,2:54,N,12291.0,1.06,4,
5,5,5,5,5,5,5,5,5,6,"Thursday, Apr 14",CHW,Home,SEA,L,1.0,5.0,9.0,4-2,1.0,Tied,Gilbert,Lambert,None,3:01,D,13391.0,1.08,-1,
6,6,6,6,6,6,6,6,6,7,"Friday, Apr 15",CHW,Home,TBR,W,3.0,2.0,9.0,5-2,1.0,up 1.0,Cease,Rasmussen,Hendriks,2:51,N,19009.0,1.02,1,
7,7,7,7,7,7,7,7,7,8,"Saturday, Apr 16",CHW,Home,TBR,W,3.0,2.0,9.0,6-2,1.0,up 2.0,López,Thompson,Hendriks,2:50,D,27113.0,1.1,2,
8,8,8,8,8,8,8,8,8,9,"Sunday, Apr 17",CHW,Home,TBR,L,3.0,9.0,9.0,6-3,1.0,up 2.0,Mazza,Velasquez,None,3:35,D,17798.0,1.11,-1,
9,9,9,9,9,9,9,9,9,10,"Wednesday, Apr 20 (1)",CHW,@,CLE,L,1.0,11.0,9.0,6-4,1.0,Tied,Bieber,Keuchel,None,2:41,D,,1.14,-2,
10,10,10,10,10,10,10,10,10,11,"Wednesday, Apr 20 (2)",CHW,@,CLE,L,1.0,2.0,9.0,6-5,1.0,Tied,Gose,Lambert,Clase,3:01,D,9196.0,1.11,-3,
11,11,11,11,11,11,11,11,11,12,"Thursday, Apr 21",CHW,@,CLE,L,3.0,6.0,9.0,6-6,2.0,1.0,Plesac,Cease,Clase,3:07,D,8345.0,1.12,-4,
12,12,12,12,12,12,12,12,12,13,"Friday, Apr 22",CHW,@,MIN,L,1.0,2.0,9.0,6-7,2.0,1.0,Duffey,Graveman,Pagán,3:04,N,14257.0,1.0,-5,
13,13,13,13,13,13,13,13,13,14,"Saturday, Apr 23",CHW,@,MIN,L,2.0,9.0,9.0,6-8,3.0,1.0,Bundy,Velasquez,None,3:32,D,16686.0,1.0,-6,
14,14,14,14,14,14,14,14,14,15,"Sunday, Apr 24",CHW,@,MIN,L-wo,4.0,6.0,10.0,6-9,3.0,1.5,Smith,Hendriks,None,3:50,D,16197.0,0.97,-7,
15,15,15,15,15,15,15,15,15,16,"Tuesday, Apr 26",CHW,Home,KCR,L,0.0,6.0,9.0,6-10,4.0,2.5,Lynch,Keuchel,None,3:20,N,12031.0,0.91,-8,
16,16,16,16,16,16,16,16,16,17,"Wednesday, Apr 27",CHW,Home,KCR,W,7.0,3.0,9.0,7-10,2.0,2.5,Sousa,Snider,Graveman,2:42,D,12363.0,0.82,1,
17,17,17,17,17,17,17,17,17,18,"Thursday, Apr 28",CHW,Home,KCR,L,2.0,5.0,10.0,7-11,3.0,3.5,Barlow,Bummer,Clarke,3:20,D,11242.0,0.87,-1,
18,18,18,18,18,18,18,18,18,19,"Friday, Apr 29",CHW,Home,LAA,L,1.0,5.0,9.0,7-12,4.0,3.5,Warren,Giolito,Iglesias,3:19,N,23709.0,0.8,-2,
19,19,19,19,19,19,19,19,19,20,"Saturday, Apr 30",CHW,Home,LAA,W,4.0,0.0,9.0,8-12,3.0,3.5,Velasquez,Suarez,None,2:55,D,33762.0,0.75,1,
20,20,20,20,20,20,20,20,20,21,"Sunday, May 1",CHW,Home,LAA,L,5.0,6.0,9.0,8-13,3.0,4.5,Lorenzen,Keuchel,Tepera,3:15,D,27664.0,0.86,-1,
21,21,21,21,21,21,21,21,21,22,"Monday, May 2",CHW,Home,LAA,W,3.0,0.0,9.0,9-13,3.0,4.5,Cease,Sandoval,Hendriks,2:39,D,13112.0,0.72,1,
22,22,22,22,22,22,22,22,22,23,"Tuesday, May 3",CHW,@,CHC,W,3.0,1.0,9.0,10-13,3.0,4.5,López,Effross,Hendriks,3:01,N,34206.0,0.73,2,
23,23,23,23,23,23,23,23,23,24,"Wednesday, May 4",CHW,@,CHC,W,4.0,3.0,9.0,11-13,2.0,3.5,Giolito,Hendricks,Hendriks,3:05,N,36755.0,0.8,3,
24,24,24,24,24,24,24,24,24,25,"Friday, May 6",CHW,@,BOS,W,4.0,2.0,9.0,12-13,2.0,3.0,Velasquez,Eovaldi,Hendriks,3:29,N,30944.0,0.88,4,
25,25,25,25,25,25,25,25,25,26,"Saturday, May 7",CHW,@,BOS,W,3.0,1.0,10.0,13-13,2.0,3.0,López,Barnes,Hendriks,3:42,D,33026.0,0.92,5,
26,26,26,26,26,26,26,26,26,27,"Sunday, May 8",CHW,@,BOS,W,3.0,2.0,9.0,14-13,2.0,3.0,Keuchel,Houck,Sousa,3:21,D,28602.0,0.95,6,
