,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
0,0,0,0,0,0,0,0,0,1,"Thursday, Apr 7",CLE,@,KCR,L,1.0,3.0,9.0,0-1,5.0,1.0,Barlow,McKenzie,None,2:49,D,28459.0,1.02,-1,
1,1,1,1,1,1,1,1,1,2,"Saturday, Apr 9",CLE,@,KCR,L-wo,0.0,1.0,10.0,0-2,4.0,2.0,Snider,Clase,None,2:49,D,17103.0,0.95,-2,
2,2,2,2,2,2,2,2,2,3,"Sunday, Apr 10",CLE,@,KCR,W,17.0,3.0,9.0,1-2,3.0,1.0,Quantrill,Bubic,None,3:09,D,20165.0,0.92,1,
3,3,3,3,3,3,3,3,3,4,"Monday, Apr 11",CLE,@,KCR,W,10.0,7.0,9.0,2-2,2.0,0.5,Allen,Brentz,None,3:37,D,8971.0,0.98,2,
4,4,4,4,4,4,4,4,4,5,"Tuesday, Apr 12",CLE,@,CIN,W,10.0,5.0,9.0,3-2,2.0,0.5,Stephan,Strickland,None,3:30,D,43036.0,0.91,3,
5,5,5,5,5,5,5,5,5,6,"Wednesday, Apr 13",CLE,@,CIN,W,7.0,3.0,9.0,4-2,2.0,0.5,Morgan,Lodolo,None,3:07,D,10976.0,0.94,4,
6,6,6,6,6,6,6,6,6,7,"Friday, Apr 15",CLE,Home,SFG,L,1.0,4.0,9.0,4-3,2.0,1.0,Rodón,Plesac,Doval,2:56,N,33469.0,1.01,-1,
7,7,7,7,7,7,7,7,7,8,"Saturday, Apr 16",CLE,Home,SFG,L,2.0,4.0,9.0,4-4,2.0,2.0,Leone,Sandlin,McGee,3:19,N,13187.0,0.98,-2,
8,8,8,8,8,8,8,8,8,9,"Sunday, Apr 17",CLE,Home,SFG,L,1.0,8.0,9.0,4-5,2.0,2.0,Wood,Civale,None,2:57,D,9620.0,0.91,-3,
9,9,9,9,9,9,9,9,9,10,"Wednesday, Apr 20 (1)",CLE,Home,CHW,W,11.0,1.0,9.0,5-5,1.0,Tied,Bieber,Keuchel,None,2:41,D,,0.99,1,
