,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
0,0,0,0,0,0,0,0,0,1,"Thursday, Apr 7",HOU,@,LAA,W,3.0,1.0,9.0,1-0,1.0,up 0.5,Valdez,Ohtani,Pressly,3:15,N,44723.0,0.96,1,
1,1,1,1,1,1,1,1,1,2,"Friday, Apr 8",HOU,@,LAA,W,13.0,6.0,9.0,2-0,1.0,up 0.5,Montero,Ortega,None,3:44,N,42719.0,1.06,2,
2,2,2,2,2,2,2,2,2,3,"Saturday, Apr 9",HOU,@,LAA,L,0.0,2.0,9.0,2-1,2.0,0.5,Syndergaard,Verlander,Iglesias,3:02,N,36139.0,1.09,-1,
3,3,3,3,3,3,3,3,3,4,"Sunday, Apr 10",HOU,@,LAA,W,4.0,1.0,9.0,3-1,1.0,up 0.5,Urquidy,Suarez,Pressly,3:15,D,41253.0,1.05,1,
4,4,4,4,4,4,4,4,4,5,"Tuesday, Apr 12",HOU,@,ARI,W,2.0,1.0,9.0,4-1,1.0,up 1.5,Neris,Melancon,Pressly,3:20,N,17674.0,1.0,2,
5,5,5,5,5,5,5,5,5,6,"Wednesday, Apr 13",HOU,@,ARI,L-wo,2.0,3.0,10.0,4-2,1.0,up 1.0,Pérez,Pressly,None,3:50,D,12660.0,1.01,-1,
6,6,6,6,6,6,6,6,6,7,"Friday, Apr 15",HOU,@,SEA,L,1.0,11.0,9.0,4-3,1.0,up 0.5,Gonzales,Odorizzi,None,3:04,N,45023.0,1.11,-2,
7,7,7,7,7,7,7,7,7,8,"Saturday, Apr 16",HOU,@,SEA,W,4.0,0.0,9.0,5-3,1.0,up 0.5,Verlander,Flexen,None,2:36,N,38504.0,1.1,1,
8,8,8,8,8,8,8,8,8,9,"Sunday, Apr 17",HOU,@,SEA,L,2.0,7.0,9.0,5-4,2.0,0.5,Brash,Urquidy,None,2:56,D,26583.0,1.08,-1,
9,9,9,9,9,9,9,9,9,10,"Monday, Apr 18",HOU,Home,LAA,W,8.0,3.0,9.0,6-4,1.0,up 0.5,Garcia,Lorenzen,None,3:22,N,42646.0,1.09,1,
10,10,10,10,10,10,10,10,10,11,"Tuesday, Apr 19",HOU,Home,LAA,L,2.0,7.0,9.0,6-5,3.0,0.5,Ortega,Valdez,None,3:36,N,30212.0,1.15,-1,
11,11,11,11,11,11,11,11,11,12,"Wednesday, Apr 20",HOU,Home,LAA,L,0.0,6.0,9.0,6-6,4.0,1.5,Ohtani,Odorizzi,None,3:08,N,29049.0,1.05,-2,
12,12,12,12,12,12,12,12,12,13,"Friday, Apr 22",HOU,Home,TOR,L,3.0,4.0,9.0,6-7,4.0,1.5,Mayza,Neris,Romano,2:53,N,36757.0,1.01,-3,
13,13,13,13,13,13,13,13,13,14,"Saturday, Apr 23",HOU,Home,TOR,L,2.0,3.0,9.0,6-8,4.0,2.5,Manoah,Taylor,Cimber,2:54,D,36075.0,0.96,-4,
14,14,14,14,14,14,14,14,14,15,"Sunday, Apr 24",HOU,Home,TOR,W-wo,8.0,7.0,10.0,7-8,4.0,2.5,Taylor,Romano,None,3:45,D,39534.0,0.93,1,
15,15,15,15,15,15,15,15,15,16,"Monday, Apr 25",HOU,@,TEX,L,2.0,6.0,9.0,7-9,4.0,3.0,Moore,Maton,None,3:14,N,17420.0,0.96,-1,
16,16,16,16,16,16,16,16,16,17,"Tuesday, Apr 26",HOU,@,TEX,W,5.0,1.0,9.0,8-9,4.0,3.0,Odorizzi,Hearn,None,3:02,N,16469.0,0.92,1,
17,17,17,17,17,17,17,17,17,18,"Wednesday, Apr 27",HOU,@,TEX,W,4.0,3.0,9.0,9-9,4.0,2.5,Javier,Martin,Stanek,3:17,N,20399.0,0.93,2,
18,18,18,18,18,18,18,18,18,19,"Thursday, Apr 28",HOU,@,TEX,W,3.0,2.0,9.0,10-9,3.0,2.5,Verlander,Bush,Montero,2:37,D,19484.0,1.0,3,
19,19,19,19,19,19,19,19,19,20,"Friday, Apr 29",HOU,@,TOR,W,11.0,7.0,9.0,11-9,2.0,2.5,Urquidy,Thornton,None,3:42,N,35066.0,1.04,4,
20,20,20,20,20,20,20,20,20,21,"Saturday, Apr 30",HOU,@,TOR,L,1.0,2.0,9.0,11-10,2.0,2.5,Berríos,Garcia,Romano,2:43,D,40732.0,1.11,-1,
21,21,21,21,21,21,21,21,21,22,"Sunday, May 1",HOU,@,TOR,L,2.0,3.0,9.0,11-11,3.0,3.5,Gausman,Valdez,Romano,2:52,D,31802.0,1.07,-2,
22,22,22,22,22,22,22,22,22,23,"Monday, May 2",HOU,Home,SEA,W,3.0,0.0,9.0,12-11,2.0,2.5,Odorizzi,Gonzales,Montero,2:48,N,27321.0,1.09,1,
23,23,23,23,23,23,23,23,23,24,"Tuesday, May 3",HOU,Home,SEA,W,4.0,0.0,9.0,13-11,2.0,1.5,Javier,Flexen,None,3:12,N,23796.0,1.14,2,
24,24,24,24,24,24,24,24,24,25,"Wednesday, May 4",HOU,Home,SEA,W,7.0,2.0,9.0,14-11,2.0,1.5,Verlander,Brash,None,3:01,D,24110.0,1.19,3,
