,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
0,0,0,0,0,0,0,0,0,1,"Thursday, Apr 7",LAA,Home,HOU,L,1.0,3.0,9.0,0-1,5.0,1.0,Valdez,Ohtani,Pressly,3:15,N,44723.0,0.95,-1,
1,1,1,1,1,1,1,1,1,2,"Friday, Apr 8",LAA,Home,HOU,L,6.0,13.0,9.0,0-2,5.0,2.0,Montero,Ortega,None,3:44,N,42719.0,0.96,-2,
2,2,2,2,2,2,2,2,2,3,"Saturday, Apr 9",LAA,Home,HOU,W,2.0,0.0,9.0,1-2,3.0,1.5,Syndergaard,Verlander,Iglesias,3:02,N,36139.0,0.9,1,
3,3,3,3,3,3,3,3,3,4,"Sunday, Apr 10",LAA,Home,HOU,L,1.0,4.0,9.0,1-3,5.0,2.0,Urquidy,Suarez,Pressly,3:15,D,41253.0,0.93,-1,
4,4,4,4,4,4,4,4,4,5,"Monday, Apr 11",LAA,Home,MIA,W,6.0,2.0,9.0,2-3,4.0,1.5,Lorenzen,Hernandez,None,2:42,N,20480.0,0.79,1,
5,5,5,5,5,5,5,5,5,6,"Tuesday, Apr 12",LAA,Home,MIA,W-wo,4.0,3.0,9.0,3-3,2.0,1.5,Iglesias,Bender,None,2:59,D,16132.0,0.81,2,
6,6,6,6,6,6,6,6,6,7,"Thursday, Apr 14",LAA,@,TEX,L,5.0,10.0,9.0,3-4,3.0,1.5,King,Ohtani,None,3:30,N,21440.0,0.97,-1,
7,7,7,7,7,7,7,7,7,8,"Friday, Apr 15",LAA,@,TEX,W,9.0,6.0,9.0,4-4,2.0,0.5,Warren,Allard,Iglesias,3:32,N,28723.0,0.94,1,
8,8,8,8,8,8,8,8,8,9,"Saturday, Apr 16",LAA,@,TEX,W,7.0,2.0,9.0,5-4,2.0,0.5,Syndergaard,Hearn,None,3:10,N,34493.0,1.0,2,
9,9,9,9,9,9,9,9,9,10,"Sunday, Apr 17",LAA,@,TEX,W,8.0,3.0,9.0,6-4,1.0,up 0.5,Mayers,Pérez,None,3:25,D,22650.0,1.01,3,
10,10,10,10,10,10,10,10,10,11,"Monday, Apr 18",LAA,@,HOU,L,3.0,8.0,9.0,6-5,2.0,0.5,Garcia,Lorenzen,None,3:22,N,42646.0,1.09,-1,
11,11,11,11,11,11,11,11,11,12,"Tuesday, Apr 19",LAA,@,HOU,W,7.0,2.0,9.0,7-5,1.0,Tied,Ortega,Valdez,None,3:36,N,30212.0,1.1,1,
12,12,12,12,12,12,12,12,12,13,"Wednesday, Apr 20",LAA,@,HOU,W,6.0,0.0,9.0,8-5,1.0,up 0.5,Ohtani,Odorizzi,None,3:08,N,29049.0,1.1,2,
13,13,13,13,13,13,13,13,13,14,"Friday, Apr 22",LAA,Home,BAL,L,3.0,5.0,9.0,8-6,1.0,Tied,Zimmermann,Detmers,López,2:55,N,31679.0,1.08,-1,
14,14,14,14,14,14,14,14,14,15,"Saturday, Apr 23",LAA,Home,BAL,L,4.0,5.0,9.0,8-7,2.0,1.0,Baker,Loup,López,3:11,N,43883.0,1.07,-2,
15,15,15,15,15,15,15,15,15,16,"Sunday, Apr 24",LAA,Home,BAL,W,7.0,6.0,9.0,9-7,2.0,1.0,Herget,Baumann,Bradley,3:42,D,41984.0,1.01,1,
