,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
0,0,0,0,0,0,0,0,0,1,"Friday, Apr 8",LAD,@,COL,W,5.0,3.0,9.0,1-0,1.0,Tied,Buehler,Freeland,Kimbrel,3:09,D,48627.0,1.0,1,
1,1,1,1,1,1,1,1,1,2,"Saturday, Apr 9",LAD,@,COL,L,2.0,3.0,9.0,1-1,2.0,0.5,Estévez,Treinen,Bard,2:48,N,48087.0,1.03,-1,
2,2,2,2,2,2,2,2,2,3,"Sunday, Apr 10",LAD,@,COL,L,4.0,9.0,9.0,1-2,4.0,1.5,Chacín,Urías,Blach,3:13,D,40825.0,1.01,-2,
3,3,3,3,3,3,3,3,3,4,"Tuesday, Apr 12",LAD,@,MIN,W,7.0,2.0,9.0,2-2,4.0,1.5,Hudson,Pagán,None,4:00,N,16732.0,0.85,1,
4,4,4,4,4,4,4,4,4,5,"Wednesday, Apr 13",LAD,@,MIN,W,7.0,0.0,9.0,3-2,3.0,1.0,Kershaw,Paddack,None,2:34,D,17101.0,0.89,2,
5,5,5,5,5,5,5,5,5,6,"Thursday, Apr 14",LAD,Home,CIN,W,9.0,3.0,9.0,4-2,1.0,Tied,Treinen,Wilson,None,3:10,N,52995.0,0.99,3,
6,6,6,6,6,6,6,6,6,7,"Friday, Apr 15",LAD,Home,CIN,W,3.0,1.0,9.0,5-2,1.0,Tied,Anderson,Gutiérrez,Kimbrel,3:15,N,51891.0,1.01,4,
7,7,7,7,7,7,7,7,7,8,"Saturday, Apr 16",LAD,Home,CIN,W,5.0,2.0,9.0,6-2,1.0,Tied,Phillips,Greene,Hudson,2:53,N,51059.0,1.05,5,
8,8,8,8,8,8,8,8,8,9,"Sunday, Apr 17",LAD,Home,CIN,W,9.0,1.0,9.0,7-2,1.0,Tied,Heaney,Mahle,None,3:02,D,41167.0,1.06,6,
9,9,9,9,9,9,9,9,9,10,"Monday, Apr 18",LAD,Home,ATL,W,7.0,4.0,9.0,8-2,1.0,up 0.5,Kershaw,Ynoa,Kimbrel,3:14,N,52052.0,1.08,7,
10,10,10,10,10,10,10,10,10,11,"Tuesday, Apr 19",LAD,Home,ATL,L,1.0,3.0,9.0,8-3,1.0,Tied,Fried,Buehler,Jansen,2:49,N,51889.0,1.12,-1,
11,11,11,11,11,11,11,11,11,12,"Wednesday, Apr 20",LAD,Home,ATL,W,5.0,1.0,9.0,9-3,1.0,up 1.0,Gonsolin,Morton,None,2:43,D,38888.0,1.08,1,
