,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
0,0,0,0,0,0,0,0,0,1,"Friday, Apr 8",MIA,@,SFG,L-wo,5.0,6.0,10.0,0-1,4.0,1.5,Alvarez,Bass,None,3:26,D,40853.0,0.96,-1,
1,1,1,1,1,1,1,1,1,2,"Saturday, Apr 9",MIA,@,SFG,W,2.0,1.0,9.0,1-1,4.0,1.5,Okert,McGee,Bender,2:57,D,38885.0,0.91,1,
2,2,2,2,2,2,2,2,2,3,"Sunday, Apr 10",MIA,@,SFG,L,2.0,3.0,9.0,1-2,4.0,1.5,García,Rogers,Leone,2:43,D,37332.0,0.94,-1,
3,3,3,3,3,3,3,3,3,4,"Monday, Apr 11",MIA,@,LAA,L,2.0,6.0,9.0,1-3,5.0,2.0,Lorenzen,Hernandez,None,2:42,N,20480.0,0.85,-2,
4,4,4,4,4,4,4,4,4,5,"Tuesday, Apr 12",MIA,@,LAA,L-wo,3.0,4.0,9.0,1-4,5.0,2.5,Iglesias,Bender,None,2:59,D,16132.0,0.81,-3,
5,5,5,5,5,5,5,5,5,6,"Thursday, Apr 14",MIA,Home,PHI,W,4.0,3.0,9.0,2-4,3.0,2.5,Alcantara,Gibson,Bender,3:23,N,31184.0,0.87,1,
6,6,6,6,6,6,6,6,6,7,"Friday, Apr 15",MIA,Home,PHI,W,7.0,1.0,9.0,3-4,2.0,2.5,López,Eflin,None,3:15,N,11990.0,0.93,2,
7,7,7,7,7,7,7,7,7,8,"Saturday, Apr 16",MIA,Home,PHI,L,3.0,10.0,9.0,3-5,4.0,2.5,Suárez,Rogers,None,3:23,N,13412.0,0.96,-1,
8,8,8,8,8,8,8,8,8,9,"Sunday, Apr 17",MIA,Home,PHI,W,11.0,3.0,9.0,4-5,2.0,2.5,Hernandez,Wheeler,None,3:32,D,11476.0,0.93,1,
9,9,9,9,9,9,9,9,9,10,"Tuesday, Apr 19",MIA,Home,STL,L,1.0,5.0,9.0,4-6,4.0,4.0,Wainwright,Luzardo,None,3:04,N,8475.0,0.88,-1,
10,10,10,10,10,10,10,10,10,11,"Wednesday, Apr 20",MIA,Home,STL,L,0.0,2.0,9.0,4-7,4.0,4.0,Cabrera,Bender,Gallegos,3:03,N,8655.0,0.83,-2,
11,11,11,11,11,11,11,11,11,12,"Thursday, Apr 21",MIA,Home,STL,W,5.0,0.0,9.0,5-7,2.0,4.0,López,Hicks,None,2:43,N,9670.0,0.8,1,
12,12,12,12,12,12,12,12,12,13,"Friday, Apr 22",MIA,@,ATL,L,0.0,3.0,9.0,5-8,4.0,5.0,Wright,Rogers,Jansen,3:04,N,40402.0,0.86,-1,
13,13,13,13,13,13,13,13,13,14,"Saturday, Apr 23",MIA,@,ATL,W,9.0,7.0,9.0,6-8,2.0,4.0,Okert,Strider,Scott,3:44,N,41931.0,0.79,1,
14,14,14,14,14,14,14,14,14,15,"Sunday, Apr 24",MIA,@,ATL,W,5.0,4.0,9.0,7-8,2.0,4.0,Luzardo,Elder,Head,3:42,D,38440.0,0.87,2,
15,15,15,15,15,15,15,15,15,16,"Tuesday, Apr 26",MIA,@,WSN,W,5.0,2.0,9.0,8-8,2.0,4.5,Alcantara,Gray,Bender,3:13,N,12613.0,0.93,3,
16,16,16,16,16,16,16,16,16,17,"Wednesday, Apr 27",MIA,@,WSN,W,2.0,1.0,9.0,9-8,2.0,3.5,López,Fedde,Bender,3:20,N,13356.0,0.94,4,
17,17,17,17,17,17,17,17,17,18,"Thursday, Apr 28",MIA,@,WSN,W,3.0,2.0,9.0,10-8,2.0,3.0,Rogers,Corbin,Sulser,2:46,D,12454.0,0.99,5,
18,18,18,18,18,18,18,18,18,19,"Friday, Apr 29",MIA,Home,SEA,W,8.0,6.0,9.0,11-8,2.0,3.0,Hernandez,Brash,Bender,3:06,N,9963.0,0.98,6,
19,19,19,19,19,19,19,19,19,20,"Saturday, Apr 30",MIA,Home,SEA,W,3.0,1.0,9.0,12-8,2.0,2.0,Luzardo,Ray,Bender,2:46,N,29010.0,1.01,7,
20,20,20,20,20,20,20,20,20,21,"Sunday, May 1",MIA,Home,SEA,L,3.0,7.0,9.0,12-9,2.0,3.0,Gilbert,Alcantara,None,3:22,D,16741.0,1.07,-1,
21,21,21,21,21,21,21,21,21,22,"Monday, May 2",MIA,Home,ARI,L,4.0,5.0,9.0,12-10,2.0,3.0,Gallen,López,Kennedy,3:27,N,6224.0,1.06,-2,
22,22,22,22,22,22,22,22,22,23,"Tuesday, May 3",MIA,Home,ARI,L,4.0,5.0,9.0,12-11,2.0,4.5,Castellanos,Rogers,Mantiply,3:24,N,6263.0,1.01,-3,
