,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
0,0,0,0,0,0,0,0,0,1,"Thursday, Apr 7",MIL,@,CHC,L,4.0,5.0,9.0,0-1,4.0,1.0,Givens,Ashby,Robertson,3:18,D,35112.0,0.98,-1,
1,1,1,1,1,1,1,1,1,2,"Saturday, Apr 9",MIL,@,CHC,L,0.0,9.0,9.0,0-2,4.0,2.0,Steele,Woodruff,None,3:28,D,30369.0,0.95,-2,
2,2,2,2,2,2,2,2,2,3,"Sunday, Apr 10",MIL,@,CHC,W,5.0,4.0,9.0,1-2,4.0,1.0,Cousins,Norris,Hader,3:03,D,32858.0,0.92,1,
3,3,3,3,3,3,3,3,3,4,"Monday, Apr 11",MIL,@,BAL,L,0.0,2.0,9.0,1-3,5.0,1.5,Baumann,Houser,López,3:24,D,44461.0,0.87,-1,
4,4,4,4,4,4,4,4,4,5,"Tuesday, Apr 12",MIL,@,BAL,W,5.0,4.0,9.0,2-3,3.0,1.5,Milner,Bautista,Hader,3:38,N,11814.0,0.82,1,
5,5,5,5,5,5,5,5,5,6,"Wednesday, Apr 13",MIL,@,BAL,W,4.0,2.0,9.0,3-3,3.0,1.0,Boxberger,López,Hader,3:04,N,12704.0,0.83,2,
6,6,6,6,6,6,6,6,6,7,"Thursday, Apr 14",MIL,Home,STL,W,5.0,1.0,9.0,4-3,2.0,0.5,Woodruff,Wainwright,None,3:04,D,42794.0,1.05,3,
7,7,7,7,7,7,7,7,7,8,"Friday, Apr 15",MIL,Home,STL,L,1.0,10.0,9.0,4-4,3.0,1.0,Mikolas,Peralta,None,3:10,N,26874.0,1.04,-1,
8,8,8,8,8,8,8,8,8,9,"Saturday, Apr 16",MIL,Home,STL,L,1.0,2.0,9.0,4-5,4.0,2.0,Matz,Houser,Gallegos,2:55,N,26356.0,1.01,-2,
9,9,9,9,9,9,9,9,9,10,"Sunday, Apr 17",MIL,Home,STL,W,6.0,5.0,9.0,5-5,4.0,1.0,Cousins,Hudson,Hader,3:51,D,23001.0,0.99,1,
10,10,10,10,10,10,10,10,10,11,"Monday, Apr 18",MIL,Home,PIT,W,6.0,1.0,9.0,6-5,3.0,0.5,Lauer,Thompson,None,2:44,N,21512.0,1.02,2,
11,11,11,11,11,11,11,11,11,12,"Tuesday, Apr 19",MIL,Home,PIT,W,5.0,2.0,9.0,7-5,2.0,0.5,Burnes,Brubaker,Hader,2:29,N,22747.0,1.03,3,
12,12,12,12,12,12,12,12,12,13,"Wednesday, Apr 20",MIL,Home,PIT,W,4.0,2.0,9.0,8-5,2.0,0.5,Woodruff,Keller,Hader,2:55,D,20790.0,1.08,4,
13,13,13,13,13,13,13,13,13,14,"Friday, Apr 22",MIL,@,PHI,L,2.0,4.0,9.0,8-6,2.0,1.0,Nelson,Ashby,Knebel,3:20,N,29285.0,1.06,-1,
14,14,14,14,14,14,14,14,14,15,"Saturday, Apr 23",MIL,@,PHI,W,5.0,3.0,9.0,9-6,2.0,1.0,Houser,Wheeler,Hader,2:57,D,30612.0,1.04,1,
15,15,15,15,15,15,15,15,15,16,"Sunday, Apr 24",MIL,@,PHI,W,1.0,0.0,9.0,10-6,1.0,Tied,Williams,Knebel,Hader,2:49,N,26175.0,1.08,2,
16,16,16,16,16,16,16,16,16,17,"Monday, Apr 25",MIL,Home,SFG,L,2.0,4.0,9.0,10-7,1.0,Tied,McGee,Cousins,Doval,3:01,N,21186.0,1.11,-1,
17,17,17,17,17,17,17,17,17,18,"Tuesday, Apr 26",MIL,@,PIT,W,12.0,8.0,9.0,11-7,1.0,up 1.0,Suter,Fletcher,Hader,3:29,N,8493.0,1.15,1,
18,18,18,18,18,18,18,18,18,19,"Wednesday, Apr 27",MIL,@,PIT,W,3.0,1.0,9.0,12-7,1.0,up 1.0,Gott,Crowe,Hader,3:01,N,8331.0,1.23,2,
19,19,19,19,19,19,19,19,19,20,"Thursday, Apr 28",MIL,@,PIT,W,3.0,2.0,9.0,13-7,1.0,up 1.0,Milner,Stratton,Williams,3:08,D,8332.0,1.21,3,
20,20,20,20,20,20,20,20,20,21,"Friday, Apr 29",MIL,Home,CHC,W,11.0,1.0,9.0,14-7,1.0,up 2.0,Houser,Hendricks,None,3:15,N,29062.0,1.21,4,
21,21,21,21,21,21,21,21,21,22,"Saturday, Apr 30",MIL,Home,CHC,W,9.0,1.0,9.0,15-7,1.0,up 3.0,Lauer,Steele,None,3:03,N,37263.0,1.22,5,
22,22,22,22,22,22,22,22,22,23,"Sunday, May 1",MIL,Home,CHC,L,0.0,2.0,9.0,15-8,1.0,up 2.0,Stroman,Burnes,Robertson,2:43,D,35137.0,1.26,-1,
23,23,23,23,23,23,23,23,23,24,"Tuesday, May 3",MIL,Home,CIN,W,6.0,3.0,9.0,16-8,1.0,up 2.5,Woodruff,Mahle,Williams,3:10,N,21961.0,1.16,1,
24,24,24,24,24,24,24,24,24,25,"Wednesday, May 4",MIL,Home,CIN,W,18.0,4.0,9.0,17-8,1.0,up 2.5,Peralta,Gutiérrez,None,3:46,N,25413.0,1.19,2,
25,25,25,25,25,25,25,25,25,26,"Thursday, May 5",MIL,Home,CIN,W,10.0,5.0,9.0,18-8,1.0,up 2.5,Houser,Greene,None,3:05,D,21715.0,1.21,3,
26,26,26,26,26,26,26,26,26,27,"Friday, May 6",MIL,@,ATL,W,6.0,3.0,9.0,19-8,1.0,up 2.5,Lauer,McHugh,Hader,3:15,N,36307.0,1.23,4,
27,27,27,27,27,27,27,27,27,28,"Saturday, May 7",MIL,@,ATL,L,2.0,3.0,9.0,19-9,1.0,up 2.5,Fried,Burnes,Jansen,2:57,N,37857.0,1.2,-1,
28,28,28,28,28,28,28,28,28,29,"Sunday, May 8",MIL,@,ATL,L,2.0,9.0,9.0,19-10,1.0,up 2.5,Morton,Ashby,None,2:52,D,36551.0,1.21,-2,
29,29,29,29,29,29,29,29,29,30,"Monday, May 9",MIL,@,CIN,L,5.0,10.0,9.0,19-11,1.0,up 2.0,Cessa,Woodruff,None,3:18,N,10046.0,1.18,-3,
30,30,30,30,30,30,30,30,30,31,"Tuesday, May 10",MIL,@,CIN,W,5.0,4.0,9.0,20-11,1.0,up 3.0,Peralta,Greene,Hader,3:50,N,10445.0,1.2,1,
31,31,31,31,31,31,31,31,31,32,"Wednesday, May 11",MIL,@,CIN,L,11.0,14.0,9.0,20-12,1.0,up 2.0,Díaz,Houser,None,3:26,D,11851.0,1.18,-1,
32,32,32,32,32,32,32,32,32,33,"Friday, May 13",MIL,@,MIA,W,2.0,1.0,9.0,21-12,1.0,up 3.5,Williams,Scott,Hader,2:53,N,9110.0,1.21,1,
33,33,33,33,33,33,33,33,33,34,"Saturday, May 14",MIL,@,MIA,L,3.0,9.0,9.0,21-13,1.0,up 2.5,Rogers,Lauer,None,3:30,N,12941.0,1.23,-1,
34,34,34,34,34,34,34,34,34,35,"Sunday, May 15",MIL,@,MIA,W,7.0,3.0,9.0,22-13,1.0,up 2.5,Woodruff,Hernandez,Ashby,3:33,D,11729.0,1.24,1,
35,35,35,35,35,35,35,35,35,36,"Monday, May 16",MIL,Home,ATL,W,1.0,0.0,9.0,23-13,1.0,up 3.0,Peralta,Anderson,Hader,2:31,N,25880.0,1.23,2,
36,36,36,36,36,36,36,36,36,37,"Tuesday, May 17",MIL,Home,ATL,L,0.0,3.0,9.0,23-14,1.0,up 2.5,Davidson,Houser,Jansen,3:14,N,28910.0,1.26,-1,
37,37,37,37,37,37,37,37,37,38,"Wednesday, May 18",MIL,Home,ATL,W-wo,7.0,6.0,11.0,24-14,1.0,up 3.5,Kelley,Chavez,None,4:03,D,27014.0,1.25,1,
38,38,38,38,38,38,38,38,38,39,"Friday, May 20",MIL,Home,WSN,W,7.0,0.0,9.0,25-14,1.0,up 4.0,Lauer,Fedde,None,2:46,N,29609.0,1.24,2,
39,39,39,39,39,39,39,39,39,40,"Saturday, May 21",MIL,Home,WSN,W,5.0,1.0,9.0,26-14,1.0,up 4.0,Woodruff,Corbin,Hader,3:13,N,34837.0,1.18,3,
40,40,40,40,40,40,40,40,40,41,"Sunday, May 22",MIL,Home,WSN,L,2.0,8.0,9.0,26-15,1.0,up 3.0,Sanchez,Peralta,None,3:03,D,39822.0,1.18,-1,
41,41,41,41,41,41,41,41,41,42,"Monday, May 23",MIL,@,SDP,L-wo,2.0,3.0,10.0,26-16,1.0,up 2.0,García,Sánchez,None,3:54,N,31504.0,1.26,-2,
42,42,42,42,42,42,42,42,42,43,"Tuesday, May 24",MIL,@,SDP,W,4.0,1.0,9.0,27-16,1.0,up 3.0,Burnes,Snell,Williams,3:14,N,39834.0,1.25,1,
43,43,43,43,43,43,43,43,43,44,"Wednesday, May 25",MIL,@,SDP,W,2.0,1.0,9.0,28-16,1.0,up 3.5,Perdomo,Darvish,Williams,3:05,D,27831.0,1.26,2,
44,44,44,44,44,44,44,44,44,45,"Thursday, May 26",MIL,@,STL,W,4.0,3.0,9.0,29-16,1.0,up 4.5,Lauer,Wainwright,Hader,3:21,N,35107.0,1.4,3,
45,45,45,45,45,45,45,45,45,46,"Friday, May 27",MIL,@,STL,L,2.0,4.0,9.0,29-17,1.0,up 3.5,VerHagen,Woodruff,Helsley,2:54,N,39077.0,1.39,-1,
46,46,46,46,46,46,46,46,46,47,"Saturday, May 28",MIL,@,STL,L,3.0,8.0,9.0,29-18,1.0,up 2.5,Liberatore,Houser,None,2:45,D,45594.0,1.45,-2,
47,47,47,47,47,47,47,47,47,48,"Sunday, May 29",MIL,@,STL,W,8.0,0.0,9.0,30-18,1.0,up 3.5,Burnes,Mikolas,None,2:48,D,44169.0,1.38,1,
48,48,48,48,48,48,48,48,48,49,"Monday, May 30 (1)",MIL,@,CHC,W,7.0,6.0,9.0,31-18,1.0,up 4.0,Sánchez,Norris,Hader,3:17,D,39305.0,1.19,2,
49,49,49,49,49,49,49,49,49,50,"Monday, May 30 (2)",MIL,@,CHC,W,3.0,1.0,9.0,32-18,1.0,up 4.0,Ashby,Espinoza,Hader,2:52,N,28620.0,1.14,3,
50,50,50,50,50,50,50,50,50,51,"Tuesday, May 31",MIL,@,CHC,L,7.0,8.0,9.0,32-19,1.0,up 3.0,Givens,Boxberger,Robertson,3:33,N,30596.0,1.14,-1,
51,51,51,51,51,51,51,51,51,52,"Wednesday, Jun 1",MIL,@,CHC,L-wo,3.0,4.0,10.0,32-20,1.0,up 2.0,Leiter,Milner,None,3:03,N,33398.0,1.19,-2,
52,52,52,52,52,52,52,52,52,53,"Thursday, Jun 2",MIL,Home,SDP,W-wo,5.0,4.0,9.0,33-20,1.0,up 3.0,Strzelecki,Rogers,None,3:20,N,21451.0,1.27,1,
53,53,53,53,53,53,53,53,53,54,"Friday, Jun 3",MIL,Home,SDP,L,0.0,7.0,9.0,33-21,1.0,up 2.0,Musgrove,Burnes,None,3:03,N,30019.0,1.23,-1,
54,54,54,54,54,54,54,54,54,55,"Saturday, Jun 4",MIL,Home,SDP,L,0.0,4.0,9.0,33-22,1.0,up 1.5,Gore,Ashby,None,2:43,D,37376.0,1.26,-2,
55,55,55,55,55,55,55,55,55,56,"Sunday, Jun 5",MIL,Home,SDP,L,4.0,6.0,10.0,33-23,1.0,up 0.5,Hill,Gott,Rogers,3:30,D,32285.0,1.32,-3,
56,56,56,56,56,56,56,56,56,57,"Tuesday, Jun 7",MIL,Home,PHI,L,2.0,3.0,9.0,33-24,1.0,up 0.5,Brogdon,Hader,Knebel,3:00,N,27109.0,1.21,-4,
57,57,57,57,57,57,57,57,57,58,"Wednesday, Jun 8",MIL,Home,PHI,L,0.0,10.0,9.0,33-25,1.0,up 0.5,Nola,Houser,None,2:50,N,29353.0,1.27,-5,
58,58,58,58,58,58,58,58,58,59,"Thursday, Jun 9",MIL,Home,PHI,L,3.0,8.0,9.0,33-26,1.0,up 0.5,Domínguez,Burnes,None,4:01,D,27306.0,1.24,-6,
59,59,59,59,59,59,59,59,59,60,"Friday, Jun 10",MIL,@,WSN,L,5.0,11.0,9.0,33-27,2.0,0.5,Fedde,Ashby,None,3:15,N,26111.0,1.19,-7,
60,60,60,60,60,60,60,60,60,61,"Saturday, Jun 11",MIL,@,WSN,L,6.0,8.0,9.0,33-28,2.0,1.5,Corbin,Lauer,None,3:02,D,25265.0,1.16,-8,
61,61,61,61,61,61,61,61,61,62,"Sunday, Jun 12",MIL,@,WSN,W,4.0,1.0,9.0,34-28,2.0,0.5,Milner,Espino,Hader,3:11,D,22549.0,1.17,1,
62,62,62,62,62,62,62,62,62,63,"Tuesday, Jun 14",MIL,@,NYM,L,0.0,4.0,9.0,34-29,2.0,2.5,Bassitt,Houser,None,2:39,N,28495.0,1.27,-1,
63,63,63,63,63,63,63,63,63,64,"Wednesday, Jun 15",MIL,@,NYM,W,10.0,2.0,9.0,35-29,2.0,1.5,Burnes,Peterson,None,3:11,N,25422.0,1.22,1,
64,64,64,64,64,64,64,64,64,65,"Thursday, Jun 16",MIL,@,NYM,L,4.0,5.0,9.0,35-30,2.0,2.0,Smith,Suter,Díaz,3:26,N,25002.0,1.25,-1,
65,65,65,65,65,65,65,65,65,66,"Friday, Jun 17",MIL,@,CIN,W,5.0,4.0,9.0,36-30,2.0,1.0,Lauer,Detwiler,Boxberger,2:53,N,21147.0,1.11,1,
66,66,66,66,66,66,66,66,66,67,"Saturday, Jun 18",MIL,@,CIN,W,7.0,3.0,9.0,37-30,2.0,1.0,Alexander,Ashcraft,None,3:21,D,25071.0,1.12,2,
67,67,67,67,67,67,67,67,67,68,"Sunday, Jun 19",MIL,@,CIN,W,6.0,3.0,9.0,38-30,1.0,Tied,Houser,Minor,Williams,3:06,D,25001.0,1.18,3,
68,68,68,68,68,68,68,68,68,69,"Monday, Jun 20",MIL,Home,STL,W,2.0,0.0,9.0,39-30,1.0,up 1.0,Burnes,Mikolas,Hader,2:46,N,28100.0,1.49,4,
69,69,69,69,69,69,69,69,69,70,"Tuesday, Jun 21",MIL,Home,STL,L,2.0,6.0,9.0,39-31,1.0,Tied,Thompson,González,None,3:13,N,30208.0,1.49,-1,
70,70,70,70,70,70,70,70,70,71,"Wednesday, Jun 22",MIL,Home,STL,L,4.0,5.0,9.0,39-32,2.0,1.0,Oviedo,Lauer,Cabrera,3:06,N,27986.0,1.47,-2,
71,71,71,71,71,71,71,71,71,72,"Thursday, Jun 23",MIL,Home,STL,W,6.0,4.0,9.0,40-32,1.0,Tied,Alexander,Hudson,Hader,3:01,D,32550.0,1.5,1,
72,72,72,72,72,72,72,72,72,73,"Friday, Jun 24",MIL,Home,TOR,L,4.0,9.0,9.0,40-33,1.0,Tied,Manoah,Houser,None,3:16,N,32166.0,1.18,-1,
73,73,73,73,73,73,73,73,73,74,"Saturday, Jun 25",MIL,Home,TOR,W,5.0,4.0,9.0,41-33,1.0,Tied,Burnes,Kikuchi,Hader,3:10,D,34768.0,1.1,1,
74,74,74,74,74,74,74,74,74,75,"Sunday, Jun 26",MIL,Home,TOR,W,10.0,3.0,9.0,42-33,1.0,up 1.0,Gustave,Berríos,None,2:51,D,35503.0,1.13,2,
75,75,75,75,75,75,75,75,75,76,"Tuesday, Jun 28",MIL,@,TBR,W,5.0,3.0,9.0,43-33,1.0,up 0.5,Woodruff,Wisler,Hader,3:21,N,13742.0,1.17,3,
76,76,76,76,76,76,76,76,76,77,"Wednesday, Jun 29",MIL,@,TBR,W,5.0,3.0,9.0,44-33,1.0,up 1.5,Boxberger,Faucher,Hader,4:00,D,15481.0,1.22,4,
77,77,77,77,77,77,77,77,77,78,"Thursday, Jun 30",MIL,@,PIT,L,7.0,8.0,9.0,44-34,1.0,up 1.0,Brubaker,Suter,De Los Santos,3:00,N,14134.0,1.24,-1,
78,78,78,78,78,78,78,78,78,79,"Friday, Jul 1",MIL,@,PIT,W,19.0,2.0,9.0,45-34,1.0,up 2.0,Burnes,Contreras,None,3:34,N,20409.0,1.28,1,
79,79,79,79,79,79,79,79,79,80,"Saturday, Jul 2",MIL,@,PIT,L,4.0,7.0,9.0,45-35,1.0,up 1.0,Wilson,Ashby,Bednar,2:56,D,26505.0,1.25,-1,
