,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
0,0,0,0,0,0,0,0,0,1,"Friday, Apr 8",MIN,Home,SEA,L,1.0,2.0,9.0,0-1,3.0,1.0,Ray,Ryan,Steckenrider,2:53,D,35462.0,0.94,-1,
1,1,1,1,1,1,1,1,1,2,"Saturday, Apr 9",MIN,Home,SEA,L,3.0,4.0,9.0,0-2,4.0,2.0,Muñoz,Duffey,Castillo,3:09,D,20867.0,0.85,-2,
2,2,2,2,2,2,2,2,2,3,"Sunday, Apr 10",MIN,Home,SEA,W,10.0,4.0,9.0,1-2,3.0,1.0,Ober,Gonzales,None,3:11,D,17018.0,0.85,1,
3,3,3,3,3,3,3,3,3,4,"Monday, Apr 11",MIN,Home,SEA,W,4.0,0.0,9.0,2-2,2.0,0.5,Bundy,Flexen,None,3:00,N,12932.0,0.92,2,
4,4,4,4,4,4,4,4,4,5,"Tuesday, Apr 12",MIN,Home,LAD,L,2.0,7.0,9.0,2-3,3.0,1.5,Hudson,Pagán,None,4:00,N,16732.0,0.89,-1,
5,5,5,5,5,5,5,5,5,6,"Wednesday, Apr 13",MIN,Home,LAD,L,0.0,7.0,9.0,2-4,4.0,2.5,Kershaw,Paddack,None,2:34,D,17101.0,0.86,-2,
6,6,6,6,6,6,6,6,6,7,"Friday, Apr 15",MIN,@,BOS,W,8.0,4.0,9.0,3-4,4.0,2.0,Ryan,Pivetta,None,3:33,D,36266.0,0.86,1,
7,7,7,7,7,7,7,7,7,8,"Saturday, Apr 16",MIN,@,BOS,L,0.0,4.0,9.0,3-5,4.0,3.0,Houck,Gray,None,2:45,D,34990.0,0.9,-1,
8,8,8,8,8,8,8,8,8,9,"Sunday, Apr 17",MIN,@,BOS,L,1.0,8.0,9.0,3-6,5.0,3.0,Strahm,Ober,None,2:51,D,28858.0,0.83,-2,
9,9,9,9,9,9,9,9,9,10,"Monday, Apr 18",MIN,@,BOS,W,8.0,3.0,9.0,4-6,4.0,2.5,Bundy,Hill,None,3:28,D,32514.0,0.84,1,
10,10,10,10,10,10,10,10,10,11,"Tuesday, Apr 19",MIN,@,KCR,L,3.0,4.0,9.0,4-7,5.0,3.0,Garrett,Duffey,Staumont,3:06,N,10003.0,0.91,-1,
11,11,11,11,11,11,11,11,11,12,"Wednesday, Apr 20",MIN,@,KCR,L,0.0,2.0,9.0,4-8,5.0,2.5,Lynch,Paddack,Barlow,2:29,N,8969.0,0.87,-2,
12,12,12,12,12,12,12,12,12,13,"Thursday, Apr 21",MIN,@,KCR,W,1.0,0.0,9.0,5-8,5.0,2.5,Ryan,Greinke,Pagán,2:43,D,15540.0,0.81,1,
13,13,13,13,13,13,13,13,13,14,"Friday, Apr 22",MIN,Home,CHW,W,2.0,1.0,9.0,6-8,3.0,1.5,Duffey,Graveman,Pagán,3:04,N,14257.0,0.88,2,
14,14,14,14,14,14,14,14,14,15,"Saturday, Apr 23",MIN,Home,CHW,W,9.0,2.0,9.0,7-8,2.0,0.5,Bundy,Velasquez,None,3:32,D,16686.0,0.93,3,
15,15,15,15,15,15,15,15,15,16,"Sunday, Apr 24",MIN,Home,CHW,W-wo,6.0,4.0,10.0,8-8,1.0,up 0.5,Smith,Hendriks,None,3:50,D,16197.0,1.01,4,
16,16,16,16,16,16,16,16,16,17,"Tuesday, Apr 26",MIN,Home,DET,W-wo,5.0,4.0,9.0,9-8,1.0,up 2.0,Jax,Soto,None,3:05,N,11803.0,1.07,5,
17,17,17,17,17,17,17,17,17,18,"Wednesday, Apr 27",MIN,Home,DET,W,5.0,0.0,9.0,10-8,1.0,up 2.5,Ryan,Pineda,None,2:23,N,11829.0,1.08,6,
18,18,18,18,18,18,18,18,18,19,"Thursday, Apr 28",MIN,Home,DET,W,7.0,1.0,9.0,11-8,1.0,up 3.0,Stashak,Skubal,Jax,3:09,D,19365.0,1.14,7,
19,19,19,19,19,19,19,19,19,20,"Friday, Apr 29",MIN,@,TBR,L,1.0,6.0,9.0,11-9,1.0,up 3.0,Kluber,Bundy,None,2:16,N,9928.0,1.14,-1,
20,20,20,20,20,20,20,20,20,21,"Saturday, Apr 30",MIN,@,TBR,W,9.0,1.0,9.0,12-9,1.0,up 3.0,Stashak,McClanahan,None,3:05,D,18846.0,1.12,1,
21,21,21,21,21,21,21,21,21,22,"Sunday, May 1",MIN,@,TBR,W,9.0,3.0,9.0,13-9,1.0,up 3.0,Winder,Fleming,None,2:53,D,14830.0,1.14,2,
22,22,22,22,22,22,22,22,22,23,"Monday, May 2",MIN,@,BAL,W,2.0,1.0,9.0,14-9,1.0,up 3.5,Paddack,Baker,Duran,2:56,N,7427.0,1.12,3,
23,23,23,23,23,23,23,23,23,24,"Tuesday, May 3",MIN,@,BAL,W,7.0,2.0,9.0,15-9,1.0,up 4.0,Thielbar,Krehbiel,None,3:00,N,6678.0,1.17,4,
24,24,24,24,24,24,24,24,24,25,"Wednesday, May 4",MIN,@,BAL,L,4.0,9.0,9.0,15-10,1.0,up 3.5,Pérez,Bundy,None,2:43,N,7466.0,1.18,-1,
25,25,25,25,25,25,25,25,25,26,"Thursday, May 5",MIN,@,BAL,L,3.0,5.0,9.0,15-11,1.0,up 2.5,López,Duran,None,3:03,N,8652.0,1.19,-2,
26,26,26,26,26,26,26,26,26,27,"Friday, May 6",MIN,Home,OAK,W,2.0,1.0,9.0,16-11,1.0,up 3.0,Winder,Logue,Pagán,2:44,N,17509.0,1.14,1,
27,27,27,27,27,27,27,27,27,28,"Saturday, May 7",MIN,Home,OAK,W,1.0,0.0,9.0,17-11,1.0,up 3.0,Jax,Kaprielian,Duran,2:55,D,22272.0,1.16,2,
28,28,28,28,28,28,28,28,28,29,"Sunday, May 8",MIN,Home,OAK,W,4.0,3.0,9.0,18-11,1.0,up 3.0,Stashak,Jefferies,Pagán,3:19,D,14295.0,1.19,3,
29,29,29,29,29,29,29,29,29,30,"Tuesday, May 10",MIN,Home,HOU,L,0.0,5.0,9.0,18-12,1.0,up 2.5,Verlander,Ryan,None,3:10,N,16156.0,1.28,-1,
30,30,30,30,30,30,30,30,30,31,"Wednesday, May 11",MIN,Home,HOU,L,3.0,11.0,9.0,18-13,1.0,up 2.0,Abreu,Archer,None,3:33,D,,1.23,-2,
31,31,31,31,31,31,31,31,31,32,"Thursday, May 12",MIN,Home,HOU,L,0.0,5.0,9.0,18-14,1.0,up 2.0,Garcia,Winder,None,3:20,D,16918.0,1.24,-3,
32,32,32,32,32,32,32,32,32,33,"Friday, May 13",MIN,Home,CLE,W,12.0,8.0,9.0,19-14,1.0,up 3.0,Jax,Civale,None,3:26,N,18711.0,1.25,1,
33,33,33,33,33,33,33,33,33,34,"Saturday, May 14",MIN,Home,CLE,L,2.0,3.0,10.0,19-15,1.0,up 2.0,Sandlin,Cotton,Clase,3:31,N,22939.0,1.24,-1,
34,34,34,34,34,34,34,34,34,35,"Sunday, May 15",MIN,Home,CLE,W,3.0,1.0,9.0,20-15,1.0,up 3.0,Ryan,McKenzie,Pagán,2:38,D,19850.0,1.22,1,
35,35,35,35,35,35,35,35,35,36,"Monday, May 16",MIN,@,OAK,W,3.0,1.0,9.0,21-15,1.0,up 3.0,Cano,Logue,Duffey,2:54,N,3138.0,1.12,2,
36,36,36,36,36,36,36,36,36,37,"Tuesday, May 17",MIN,@,OAK,L,2.0,5.0,9.0,21-16,1.0,up 2.5,Jackson,Winder,Jiménez,3:20,N,3640.0,1.15,-1,
37,37,37,37,37,37,37,37,37,38,"Wednesday, May 18",MIN,@,OAK,W,14.0,4.0,9.0,22-16,1.0,up 3.5,Gray,Jefferies,None,3:25,D,7106.0,1.13,1,
