,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
0,0,0,0,0,0,0,0,0,1,"Thursday, Apr 7",NYM,@,WSN,W,5.0,1.0,9.0,1-0,1.0,up 0.5,Megill,Corbin,None,3:31,N,35052.0,1.02,1,
1,1,1,1,1,1,1,1,1,2,"Friday, Apr 8",NYM,@,WSN,W,7.0,3.0,9.0,2-0,1.0,up 0.5,Scherzer,Gray,None,3:43,N,25677.0,1.01,2,
2,2,2,2,2,2,2,2,2,3,"Saturday, Apr 9",NYM,@,WSN,W,5.0,0.0,9.0,3-0,1.0,up 0.5,Bassitt,Adon,None,3:14,N,21369.0,1.12,3,
3,3,3,3,3,3,3,3,3,4,"Sunday, Apr 10",NYM,@,WSN,L,2.0,4.0,9.0,3-1,1.0,up 0.5,Finnegan,Williams,Rainey,3:01,D,23158.0,1.06,-1,
4,4,4,4,4,4,4,4,4,5,"Monday, Apr 11",NYM,@,PHI,L,4.0,5.0,9.0,3-2,2.0,0.5,Domínguez,Lugo,Hand,3:05,N,22317.0,1.13,-2,
5,5,5,5,5,5,5,5,5,6,"Tuesday, Apr 12",NYM,@,PHI,W,2.0,0.0,9.0,4-2,1.0,up 0.5,Megill,Wheeler,Díaz,3:12,N,26045.0,1.07,1,
6,6,6,6,6,6,6,6,6,7,"Wednesday, Apr 13",NYM,@,PHI,W,9.0,6.0,9.0,5-2,1.0,up 1.5,Scherzer,Nola,None,4:04,D,31190.0,1.13,2,
7,7,7,7,7,7,7,7,7,8,"Friday, Apr 15",NYM,Home,ARI,W,10.0,3.0,9.0,6-2,1.0,up 2.5,Bassitt,Davies,None,3:24,D,43820.0,1.09,3,
8,8,8,8,8,8,8,8,8,9,"Saturday, Apr 16",NYM,Home,ARI,L,2.0,3.0,9.0,6-3,1.0,up 1.5,Poppen,Rodríguez,Melancon,3:12,D,37935.0,1.14,-1,
9,9,9,9,9,9,9,9,9,10,"Sunday, Apr 17",NYM,Home,ARI,W,5.0,0.0,9.0,7-3,1.0,up 2.5,Shreve,Ramirez,None,2:59,D,24515.0,1.09,1,
10,10,10,10,10,10,10,10,10,11,"Tuesday, Apr 19 (1)",NYM,Home,SFG,W-wo,5.0,4.0,10.0,8-3,1.0,up 3.5,Ottavino,García,None,3:33,D,,1.12,2,
11,11,11,11,11,11,11,11,11,12,"Tuesday, Apr 19 (2)",NYM,Home,SFG,W,3.0,1.0,9.0,9-3,1.0,up 3.5,Scherzer,Webb,May,2:41,D,27490.0,1.16,3,
12,12,12,12,12,12,12,12,12,13,"Wednesday, Apr 20",NYM,Home,SFG,L,2.0,5.0,9.0,9-4,1.0,up 3.5,Rodón,Bassitt,McGee,3:20,N,30050.0,1.15,-1,
13,13,13,13,13,13,13,13,13,14,"Thursday, Apr 21",NYM,Home,SFG,W,6.0,2.0,9.0,10-4,1.0,up 4.0,Carrasco,DeSclafani,None,2:35,D,28760.0,1.19,1,
14,14,14,14,14,14,14,14,14,15,"Friday, Apr 22",NYM,@,ARI,W,6.0,5.0,10.0,11-4,1.0,up 4.0,Díaz,Melancon,Lugo,3:29,N,20939.0,1.17,2,
15,15,15,15,15,15,15,15,15,16,"Saturday, Apr 23",NYM,@,ARI,L,2.0,5.0,9.0,11-5,1.0,up 4.0,Castellanos,Williams,Mantiply,3:19,N,25413.0,1.17,-1,
16,16,16,16,16,16,16,16,16,17,"Sunday, Apr 24",NYM,@,ARI,W,6.0,2.0,9.0,12-5,1.0,up 4.0,Megill,Wendelken,None,2:56,D,23570.0,1.18,1,
17,17,17,17,17,17,17,17,17,18,"Monday, Apr 25",NYM,@,STL,W,5.0,2.0,9.0,13-5,1.0,up 4.5,May,Gallegos,Díaz,3:00,N,35455.0,1.21,2,
18,18,18,18,18,18,18,18,18,19,"Tuesday, Apr 26",NYM,@,STL,W,3.0,0.0,9.0,14-5,1.0,up 4.5,Bassitt,Hicks,Díaz,3:32,N,32215.0,1.26,3,
19,19,19,19,19,19,19,19,19,20,"Wednesday, Apr 27",NYM,@,STL,L,5.0,10.0,9.0,14-6,1.0,up 3.5,Woodford,Carrasco,None,3:29,D,34822.0,1.22,-1,
20,20,20,20,20,20,20,20,20,21,"Friday, Apr 29",NYM,Home,PHI,W,3.0,0.0,9.0,15-6,1.0,up 3.0,Megill,Nola,Díaz,3:18,N,32416.0,1.29,1,
21,21,21,21,21,21,21,21,21,22,"Saturday, Apr 30",NYM,Home,PHI,L,1.0,4.0,9.0,15-7,1.0,up 2.0,Norwood,Ottavino,Knebel,3:48,N,40036.0,1.25,-1,
22,22,22,22,22,22,22,22,22,23,"Sunday, May 1",NYM,Home,PHI,W,10.0,6.0,9.0,16-7,1.0,up 3.0,Scherzer,Eflin,None,3:20,N,30608.0,1.31,1,
23,23,23,23,23,23,23,23,23,24,"Monday, May 2",NYM,Home,ATL,L,2.0,5.0,9.0,16-8,1.0,up 3.0,Fried,Bassitt,Jansen,3:18,N,23413.0,1.28,-1,
24,24,24,24,24,24,24,24,24,25,"Tuesday, May 3 (1)",NYM,Home,ATL,W,5.0,4.0,9.0,17-8,1.0,up 4.5,Peterson,Morton,Díaz,2:49,D,,1.32,1,
25,25,25,25,25,25,25,25,25,26,"Tuesday, May 3 (2)",NYM,Home,ATL,W,3.0,0.0,9.0,18-8,1.0,up 4.5,Carrasco,Wright,Lugo,2:18,D,27206.0,1.28,2,
26,26,26,26,26,26,26,26,26,27,"Wednesday, May 4",NYM,Home,ATL,L,2.0,9.0,9.0,18-9,1.0,up 4.5,Anderson,Megill,None,3:28,D,23973.0,1.28,-1,
27,27,27,27,27,27,27,27,27,28,"Thursday, May 5",NYM,@,PHI,W,8.0,7.0,9.0,19-9,1.0,up 5.5,Medina,Knebel,Díaz,3:15,N,24040.0,1.28,1,
28,28,28,28,28,28,28,28,28,29,"Sunday, May 8 (1)",NYM,@,PHI,L,2.0,3.0,9.0,19-10,1.0,up 6.0,Gibson,Scherzer,Knebel,2:58,D,,1.28,-1,
29,29,29,29,29,29,29,29,29,30,"Sunday, May 8 (2)",NYM,@,PHI,W,6.0,1.0,9.0,20-10,1.0,up 6.0,Bassitt,Sánchez,None,3:15,D,37133.0,1.29,1,
30,30,30,30,30,30,30,30,30,31,"Tuesday, May 10",NYM,@,WSN,W,4.0,2.0,9.0,21-10,1.0,up 7.0,Carrasco,Edwards,Díaz,3:08,N,21955.0,1.26,2,
31,31,31,31,31,31,31,31,31,32,"Wednesday, May 11",NYM,@,WSN,L,3.0,8.0,9.0,21-11,1.0,up 6.0,Sanchez,Megill,None,3:05,N,19715.0,1.21,-1,
32,32,32,32,32,32,32,32,32,33,"Thursday, May 12",NYM,@,WSN,W,4.0,1.0,9.0,22-11,1.0,up 6.5,Walker,Adon,None,2:45,D,21213.0,1.24,1,
33,33,33,33,33,33,33,33,33,34,"Friday, May 13",NYM,Home,SEA,L,1.0,2.0,9.0,22-12,1.0,up 5.5,Sewald,Smith,Steckenrider,2:56,N,36629.0,1.21,-1,
34,34,34,34,34,34,34,34,34,35,"Saturday, May 14",NYM,Home,SEA,W,5.0,4.0,9.0,23-12,1.0,up 5.5,Ottavino,Muñoz,Díaz,3:30,N,37140.0,1.19,1,
35,35,35,35,35,35,35,35,35,36,"Sunday, May 15",NYM,Home,SEA,L,7.0,8.0,9.0,23-13,1.0,up 5.5,Ray,Shreve,Castillo,3:22,D,38476.0,1.25,-1,
36,36,36,36,36,36,36,36,36,37,"Tuesday, May 17 (1)",NYM,Home,STL,W,3.0,1.0,9.0,24-13,1.0,up 6.0,Reed,Mikolas,Díaz,2:54,D,,1.32,1,
37,37,37,37,37,37,37,37,37,38,"Tuesday, May 17 (2)",NYM,Home,STL,L,3.0,4.0,9.0,24-14,1.0,up 6.0,Helsley,Rodríguez,Gallegos,3:42,D,27457.0,1.32,-1,
38,38,38,38,38,38,38,38,38,39,"Wednesday, May 18",NYM,Home,STL,W,11.0,4.0,9.0,25-14,1.0,up 6.0,Scherzer,Walsh,None,3:29,N,32798.0,1.34,1,
39,39,39,39,39,39,39,39,39,40,"Thursday, May 19",NYM,Home,STL,W-wo,7.0,6.0,10.0,26-14,1.0,up 7.0,Holderman,Gallegos,None,3:41,D,28801.0,1.31,2,
40,40,40,40,40,40,40,40,40,41,"Saturday, May 21 (1)",NYM,@,COL,W,5.0,1.0,9.0,27-14,1.0,up 7.0,Carrasco,Márquez,None,2:55,D,20737.0,1.23,3,
41,41,41,41,41,41,41,41,41,42,"Saturday, May 21 (2)",NYM,@,COL,L,3.0,11.0,9.0,27-15,1.0,up 7.0,Goudeau,Williams,None,2:58,N,25783.0,1.22,-1,
42,42,42,42,42,42,42,42,42,43,"Sunday, May 22",NYM,@,COL,W,2.0,0.0,9.0,28-15,1.0,up 8.0,Walker,Gomber,Díaz,2:34,D,35248.0,1.19,1,
43,43,43,43,43,43,43,43,43,44,"Monday, May 23",NYM,@,SFG,W,13.0,3.0,9.0,29-15,1.0,up 8.0,Peterson,Cobb,None,2:51,N,25690.0,1.18,2,
44,44,44,44,44,44,44,44,44,45,"Tuesday, May 24",NYM,@,SFG,L-wo,12.0,13.0,9.0,29-16,1.0,up 8.0,Brebbia,Díaz,None,3:50,N,27683.0,1.19,-1,
45,45,45,45,45,45,45,45,45,46,"Wednesday, May 25",NYM,@,SFG,L,3.0,9.0,9.0,29-17,1.0,up 7.0,Junis,Szapucki,None,2:44,D,27432.0,1.18,-2,
46,46,46,46,46,46,46,46,46,47,"Friday, May 27",NYM,Home,PHI,W,8.0,6.0,9.0,30-17,1.0,up 7.5,Carrasco,Falter,Díaz,3:41,N,30175.0,1.31,1,
47,47,47,47,47,47,47,47,47,48,"Saturday, May 28",NYM,Home,PHI,W,8.0,2.0,9.0,31-17,1.0,up 8.5,Walker,Eflin,None,3:09,N,37455.0,1.25,2,
48,48,48,48,48,48,48,48,48,49,"Sunday, May 29",NYM,Home,PHI,W-wo,5.0,4.0,10.0,32-17,1.0,up 8.5,Díaz,Knebel,None,3:51,N,36513.0,1.19,3,
49,49,49,49,49,49,49,49,49,50,"Monday, May 30",NYM,Home,WSN,W,13.0,5.0,9.0,33-17,1.0,up 9.5,Holderman,Fedde,None,3:29,N,22007.0,1.08,4,
50,50,50,50,50,50,50,50,50,51,"Tuesday, May 31",NYM,Home,WSN,W,10.0,0.0,9.0,34-17,1.0,up10.5,Williams,Corbin,None,3:31,N,25263.0,1.07,5,
51,51,51,51,51,51,51,51,51,52,"Wednesday, Jun 1",NYM,Home,WSN,W,5.0,0.0,9.0,35-17,1.0,up10.5,Carrasco,Lee,None,3:02,D,25417.0,1.02,6,
52,52,52,52,52,52,52,52,52,53,"Thursday, Jun 2",NYM,@,LAD,L,0.0,2.0,9.0,35-18,1.0,up 9.5,Gonsolin,Walker,Kimbrel,2:54,N,48018.0,1.08,-1,
53,53,53,53,53,53,53,53,53,54,"Friday, Jun 3",NYM,@,LAD,L,1.0,6.0,9.0,35-19,1.0,up 8.5,Anderson,Bassitt,Hudson,2:55,N,52505.0,1.15,-2,
54,54,54,54,54,54,54,54,54,55,"Saturday, Jun 4",NYM,@,LAD,W,9.0,4.0,9.0,36-19,1.0,up 8.5,Holderman,Buehler,None,3:33,N,50165.0,1.17,1,
55,55,55,55,55,55,55,55,55,56,"Sunday, Jun 5",NYM,@,LAD,W,5.0,4.0,10.0,37-19,1.0,up 8.5,Lugo,Kimbrel,Medina,3:59,D,48672.0,1.1,2,
56,56,56,56,56,56,56,56,56,57,"Monday, Jun 6",NYM,@,SDP,W,11.0,5.0,9.0,38-19,1.0,up 9.0,Carrasco,Snell,None,3:43,N,34858.0,1.12,3,
57,57,57,57,57,57,57,57,57,58,"Tuesday, Jun 7",NYM,@,SDP,L,0.0,7.0,9.0,38-20,1.0,up 8.0,Darvish,Walker,None,2:48,N,31796.0,1.01,-1,
58,58,58,58,58,58,58,58,58,59,"Wednesday, Jun 8",NYM,@,SDP,L,2.0,13.0,9.0,38-21,1.0,up 7.0,Manaea,Bassitt,None,2:58,N,40992.0,1.06,-2,
59,59,59,59,59,59,59,59,59,60,"Friday, Jun 10",NYM,@,LAA,W,7.0,3.0,9.0,39-21,1.0,up 6.5,Peterson,Diaz,None,3:21,N,31499.0,1.04,1,
60,60,60,60,60,60,60,60,60,61,"Saturday, Jun 11",NYM,@,LAA,L,6.0,11.0,9.0,39-22,1.0,up 5.5,Lorenzen,Carrasco,None,3:21,N,36408.0,1.04,-1,
61,61,61,61,61,61,61,61,61,62,"Sunday, Jun 12",NYM,@,LAA,W,4.0,1.0,9.0,40-22,1.0,up 5.5,Walker,Sandoval,Díaz,3:11,D,36598.0,1.09,1,
62,62,62,62,62,62,62,62,62,63,"Tuesday, Jun 14",NYM,Home,MIL,W,4.0,0.0,9.0,41-22,1.0,up 5.0,Bassitt,Houser,None,2:39,N,28495.0,1.16,2,
63,63,63,63,63,63,63,63,63,64,"Wednesday, Jun 15",NYM,Home,MIL,L,2.0,10.0,9.0,41-23,1.0,up 4.0,Burnes,Peterson,None,3:11,N,25422.0,1.11,-1,
64,64,64,64,64,64,64,64,64,65,"Thursday, Jun 16",NYM,Home,MIL,W,5.0,4.0,9.0,42-23,1.0,up 4.5,Smith,Suter,Díaz,3:26,N,25002.0,1.2,1,
65,65,65,65,65,65,65,65,65,66,"Friday, Jun 17",NYM,Home,MIA,W,10.0,4.0,9.0,43-23,1.0,up 5.5,Carrasco,López,None,3:23,N,36111.0,1.09,2,
66,66,66,66,66,66,66,66,66,67,"Saturday, Jun 18",NYM,Home,MIA,W,3.0,2.0,9.0,44-23,1.0,up 6.5,Walker,Garrett,Díaz,2:51,D,40021.0,1.04,3,
67,67,67,67,67,67,67,67,67,68,"Sunday, Jun 19",NYM,Home,MIA,L,2.0,6.0,9.0,44-24,1.0,up 5.5,Alcantara,Bassitt,None,3:02,D,41255.0,1.0,-1,
68,68,68,68,68,68,68,68,68,69,"Monday, Jun 20",NYM,Home,MIA,W,6.0,0.0,9.0,45-24,1.0,up 5.5,Peterson,Rogers,None,3:20,D,34947.0,1.06,1,
69,69,69,69,69,69,69,69,69,70,"Tuesday, Jun 21",NYM,@,HOU,L,2.0,8.0,9.0,45-25,1.0,up 5.5,Urquidy,Williams,None,3:02,N,35140.0,1.0,-1,
70,70,70,70,70,70,70,70,70,71,"Wednesday, Jun 22",NYM,@,HOU,L,3.0,5.0,9.0,45-26,1.0,up 4.5,Garcia,Carrasco,Pressly,3:15,D,35415.0,1.01,-2,
71,71,71,71,71,71,71,71,71,72,"Friday, Jun 24",NYM,@,MIA,W,5.0,3.0,9.0,46-26,1.0,up 5.0,Walker,Alcantara,Díaz,3:03,N,11444.0,1.11,1,
72,72,72,72,72,72,72,72,72,73,"Saturday, Jun 25",NYM,@,MIA,W,5.0,3.0,9.0,47-26,1.0,up 5.0,Bassitt,Yacabonis,Díaz,3:00,D,18722.0,1.03,2,
73,73,73,73,73,73,73,73,73,74,"Sunday, Jun 26",NYM,@,MIA,L-wo,2.0,3.0,9.0,47-27,1.0,up 5.0,Scott,Ottavino,None,2:44,D,19343.0,0.97,-1,
74,74,74,74,74,74,74,74,74,75,"Tuesday, Jun 28",NYM,Home,HOU,L,1.0,9.0,9.0,47-28,1.0,up 4.0,Valdez,Carrasco,None,3:17,N,36673.0,0.99,-2,
75,75,75,75,75,75,75,75,75,76,"Wednesday, Jun 29",NYM,Home,HOU,L,0.0,2.0,9.0,47-29,1.0,up 3.0,Verlander,Smith,Pressly,2:43,D,29230.0,1.12,-3,
76,76,76,76,76,76,76,76,76,77,"Friday, Jul 1",NYM,Home,TEX,W,4.0,3.0,9.0,48-29,1.0,up 3.5,Peterson,Otto,Díaz,2:38,N,35639.0,1.12,1,
77,77,77,77,77,77,77,77,77,78,"Saturday, Jul 2",NYM,Home,TEX,L,3.0,7.0,9.0,48-30,1.0,up 2.5,Pérez,Williams,None,2:57,D,26494.0,1.07,-1,
