,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
0,0,0,0,0,0,0,0,0,1,"Friday, Apr 8",PHI,Home,OAK,W,9.0,5.0,9.0,1-0,2.0,0.5,Nola,Montas,None,3:14,D,44232.0,0.89,1,
1,1,1,1,1,1,1,1,1,2,"Saturday, Apr 9",PHI,Home,OAK,W,4.0,2.0,9.0,2-0,2.0,0.5,Gibson,Irvin,Knebel,2:37,D,41622.0,0.91,2,
2,2,2,2,2,2,2,2,2,3,"Sunday, Apr 10",PHI,Home,OAK,L,1.0,4.0,9.0,2-1,2.0,0.5,Jefferies,Falter,None,2:57,D,33507.0,0.96,-1,
3,3,3,3,3,3,3,3,3,4,"Monday, Apr 11",PHI,Home,NYM,W,5.0,4.0,9.0,3-1,1.0,up 0.5,Domínguez,Lugo,Hand,3:05,N,22317.0,1.02,1,
4,4,4,4,4,4,4,4,4,5,"Tuesday, Apr 12",PHI,Home,NYM,L,0.0,2.0,9.0,3-2,2.0,0.5,Megill,Wheeler,Díaz,3:12,N,26045.0,1.07,-1,
5,5,5,5,5,5,5,5,5,6,"Wednesday, Apr 13",PHI,Home,NYM,L,6.0,9.0,9.0,3-3,2.0,1.5,Scherzer,Nola,None,4:04,D,31190.0,1.01,-2,
6,6,6,6,6,6,6,6,6,7,"Thursday, Apr 14",PHI,@,MIA,L,3.0,4.0,9.0,3-4,2.0,2.0,Alcantara,Gibson,Bender,3:23,N,31184.0,0.97,-3,
7,7,7,7,7,7,7,7,7,8,"Friday, Apr 15",PHI,@,MIA,L,1.0,7.0,9.0,3-5,5.0,3.0,López,Eflin,None,3:15,N,11990.0,0.94,-4,
8,8,8,8,8,8,8,8,8,9,"Saturday, Apr 16",PHI,@,MIA,W,10.0,3.0,9.0,4-5,3.0,2.0,Suárez,Rogers,None,3:23,N,13412.0,0.88,1,
9,9,9,9,9,9,9,9,9,10,"Sunday, Apr 17",PHI,@,MIA,L,3.0,11.0,9.0,4-6,4.0,3.0,Hernandez,Wheeler,None,3:32,D,11476.0,0.95,-1,
