,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
0,0,0,0,0,0,0,0,0,1,"Thursday, Apr 7",PIT,@,STL,L,0.0,9.0,9.0,0-1,4.0,1.0,Wainwright,Brubaker,None,3:08,D,46256.0,0.99,-1,
1,1,1,1,1,1,1,1,1,2,"Saturday, Apr 9",PIT,@,STL,L,2.0,6.0,9.0,0-2,4.0,2.0,Whitley,Keller,None,3:32,D,45025.0,0.96,-2,
2,2,2,2,2,2,2,2,2,3,"Sunday, Apr 10",PIT,@,STL,W,9.0,4.0,9.0,1-2,4.0,1.0,Yajure,Matz,None,3:08,D,40027.0,0.91,1,
3,3,3,3,3,3,3,3,3,4,"Tuesday, Apr 12",PIT,Home,CHC,L,1.0,2.0,9.0,1-3,5.0,2.0,Smyly,Quintana,Robertson,2:51,D,34458.0,0.94,-1,
4,4,4,4,4,4,4,4,4,5,"Wednesday, Apr 13",PIT,Home,CHC,W,6.0,2.0,9.0,2-3,4.0,1.5,Peters,Hendricks,Crowe,2:49,D,9122.0,0.88,1,
5,5,5,5,5,5,5,5,5,6,"Thursday, Apr 14",PIT,Home,WSN,W,9.0,4.0,9.0,3-3,4.0,1.0,Contreras,Adon,None,3:37,N,9266.0,0.89,2,
6,6,6,6,6,6,6,6,6,7,"Friday, Apr 15",PIT,Home,WSN,L,2.0,7.0,9.0,3-4,4.0,1.5,Fedde,Keller,None,3:14,N,13076.0,0.95,-1,
7,7,7,7,7,7,7,7,7,8,"Saturday, Apr 16",PIT,Home,WSN,W,6.0,4.0,9.0,4-4,2.0,1.5,Peters,Rogers,None,3:25,N,8676.0,0.91,1,
8,8,8,8,8,8,8,8,8,9,"Sunday, Apr 17",PIT,Home,WSN,W,5.0,3.0,9.0,5-4,2.0,0.5,Hembree,Cishek,Bednar,3:20,D,8735.0,0.95,2,
9,9,9,9,9,9,9,9,9,10,"Monday, Apr 18",PIT,@,MIL,L,1.0,6.0,9.0,5-5,4.0,1.0,Lauer,Thompson,None,2:44,N,21512.0,1.05,-1,
10,10,10,10,10,10,10,10,10,11,"Tuesday, Apr 19",PIT,@,MIL,L,2.0,5.0,9.0,5-6,4.0,2.0,Burnes,Brubaker,Hader,2:29,N,22747.0,0.96,-2,
11,11,11,11,11,11,11,11,11,12,"Wednesday, Apr 20",PIT,@,MIL,L,2.0,4.0,9.0,5-7,4.0,3.0,Woodruff,Keller,Hader,2:55,D,20790.0,0.94,-3,
12,12,12,12,12,12,12,12,12,13,"Thursday, Apr 21",PIT,@,CHC,W,4.0,3.0,9.0,6-7,3.0,2.0,Crowe,Roberts,Stratton,3:35,N,32341.0,0.87,1,
