,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
0,0,0,0,0,0,0,0,0,1,"Thursday, Apr 7",SDP,@,ARI,L-wo,2.0,4.0,9.0,0-1,5.0,1.0,Mantiply,Suarez,None,3:18,N,35508.0,0.98,-1,
1,1,1,1,1,1,1,1,1,2,"Friday, Apr 8",SDP,@,ARI,W,3.0,0.0,9.0,1-1,3.0,0.5,Manaea,Pérez,Rogers,2:44,N,17297.0,0.93,1,
2,2,2,2,2,2,2,2,2,3,"Saturday, Apr 9",SDP,@,ARI,W,5.0,2.0,9.0,2-1,1.0,up 0.5,Wilson,Kennedy,Rogers,2:52,N,19504.0,1.01,2,
3,3,3,3,3,3,3,3,3,4,"Sunday, Apr 10",SDP,@,ARI,W,10.0,5.0,9.0,3-1,1.0,up 0.5,Adams,Smith,None,3:15,D,19089.0,1.09,3,
4,4,4,4,4,4,4,4,4,5,"Monday, Apr 11",SDP,@,SFG,W,4.0,2.0,9.0,4-1,1.0,up 0.5,Wilson,Rogers,Rogers,3:30,N,23279.0,1.15,4,
5,5,5,5,5,5,5,5,5,6,"Tuesday, Apr 12",SDP,@,SFG,L,2.0,13.0,9.0,4-2,2.0,0.5,Cobb,Darvish,None,3:13,N,25560.0,1.13,-1,
6,6,6,6,6,6,6,6,6,7,"Wednesday, Apr 13",SDP,@,SFG,L,1.0,2.0,9.0,4-3,3.0,1.0,Webb,Manaea,Doval,2:11,D,27197.0,1.12,-2,
7,7,7,7,7,7,7,7,7,8,"Thursday, Apr 14",SDP,Home,ATL,W,12.0,1.0,9.0,5-3,1.0,Tied,Musgrove,Morton,None,3:07,N,44844.0,0.99,1,
8,8,8,8,8,8,8,8,8,9,"Friday, Apr 15",SDP,Home,ATL,L,2.0,5.0,9.0,5-4,4.0,1.0,O'Day,Johnson,Jansen,3:22,N,41993.0,0.98,-1,
9,9,9,9,9,9,9,9,9,10,"Saturday, Apr 16",SDP,Home,ATL,L,2.0,5.0,9.0,5-5,4.0,2.0,Anderson,Martinez,Jansen,2:57,D,36924.0,0.98,-2,
10,10,10,10,10,10,10,10,10,11,"Sunday, Apr 17",SDP,Home,ATL,W,2.0,1.0,9.0,6-5,4.0,2.0,Darvish,Elder,Rogers,2:54,D,37694.0,0.94,1,
11,11,11,11,11,11,11,11,11,12,"Monday, Apr 18",SDP,Home,CIN,W,4.0,1.0,9.0,7-5,4.0,2.0,Manaea,Lodolo,Rogers,2:50,N,31121.0,0.94,2,
12,12,12,12,12,12,12,12,12,13,"Tuesday, Apr 19",SDP,Home,CIN,W,6.0,2.0,9.0,8-5,3.0,1.0,Musgrove,Sanmartin,None,2:41,N,31313.0,0.96,3,
13,13,13,13,13,13,13,13,13,14,"Wednesday, Apr 20",SDP,Home,CIN,W,6.0,0.0,9.0,9-5,2.0,1.0,Gore,Gutiérrez,None,2:56,D,25359.0,1.01,4,
14,14,14,14,14,14,14,14,14,15,"Friday, Apr 22",SDP,Home,LAD,L,1.0,6.0,9.0,9-6,4.0,2.0,Urías,Martinez,None,3:25,N,44482.0,1.14,-1,
15,15,15,15,15,15,15,15,15,16,"Saturday, Apr 23",SDP,Home,LAD,W-wo,3.0,2.0,10.0,10-6,3.0,1.0,Suarez,Bruihl,None,3:27,N,44444.0,1.13,1,
16,16,16,16,16,16,16,16,16,17,"Sunday, Apr 24",SDP,Home,LAD,L,2.0,10.0,9.0,10-7,4.0,2.0,Kershaw,Manaea,None,3:02,D,44930.0,1.16,-1,
17,17,17,17,17,17,17,17,17,18,"Tuesday, Apr 26",SDP,@,CIN,W,9.0,6.0,9.0,11-7,3.0,2.0,Musgrove,Sanmartin,None,3:11,N,10056.0,0.97,1,
18,18,18,18,18,18,18,18,18,19,"Wednesday, Apr 27",SDP,@,CIN,W,8.0,5.0,9.0,12-7,3.0,1.0,Gore,Gutiérrez,Rogers,3:28,N,9192.0,1.04,2,
