,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
0,0,0,0,0,0,0,0,0,1,"Friday, Apr 8",SEA,@,MIN,W,2.0,1.0,9.0,1-0,2.0,0.5,Ray,Ryan,Steckenrider,2:53,D,35462.0,0.95,1,
1,1,1,1,1,1,1,1,1,2,"Saturday, Apr 9",SEA,@,MIN,W,4.0,3.0,9.0,2-0,1.0,up 0.5,Muñoz,Duffey,Castillo,3:09,D,20867.0,0.96,2,
2,2,2,2,2,2,2,2,2,3,"Sunday, Apr 10",SEA,@,MIN,L,4.0,10.0,9.0,2-1,2.0,0.5,Ober,Gonzales,None,3:11,D,17018.0,1.04,-1,
3,3,3,3,3,3,3,3,3,4,"Monday, Apr 11",SEA,@,MIN,L,0.0,4.0,9.0,2-2,2.0,1.0,Bundy,Flexen,None,3:00,N,12932.0,0.98,-2,
4,4,4,4,4,4,4,4,4,5,"Tuesday, Apr 12",SEA,@,CHW,L,2.0,3.0,9.0,2-3,3.0,2.0,López,Brash,Hendriks,3:22,D,36948.0,0.97,-3,
5,5,5,5,5,5,5,5,5,6,"Wednesday, Apr 13",SEA,@,CHW,L,4.0,6.0,9.0,2-4,4.0,2.0,Keuchel,Ray,Hendriks,2:54,N,12291.0,0.93,-4,
6,6,6,6,6,6,6,6,6,7,"Thursday, Apr 14",SEA,@,CHW,W,5.0,1.0,9.0,3-4,3.0,1.5,Gilbert,Lambert,None,3:01,D,13391.0,0.9,1,
7,7,7,7,7,7,7,7,7,8,"Friday, Apr 15",SEA,Home,HOU,W,11.0,1.0,9.0,4-4,2.0,0.5,Gonzales,Odorizzi,None,3:04,N,45023.0,1.01,2,
8,8,8,8,8,8,8,8,8,9,"Saturday, Apr 16",SEA,Home,HOU,L,0.0,4.0,9.0,4-5,4.0,1.5,Verlander,Flexen,None,2:36,N,38504.0,1.05,-1,
9,9,9,9,9,9,9,9,9,10,"Sunday, Apr 17",SEA,Home,HOU,W,7.0,2.0,9.0,5-5,3.0,1.0,Brash,Urquidy,None,2:56,D,26583.0,0.99,1,
