,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
0,0,0,0,0,0,0,0,0,1,"Friday, Apr 8",SFG,Home,MIA,W-wo,6.0,5.0,10.0,1-0,1.0,Tied,Alvarez,Bass,None,3:26,D,40853.0,0.92,1,
1,1,1,1,1,1,1,1,1,2,"Saturday, Apr 9",SFG,Home,MIA,L,1.0,2.0,9.0,1-1,2.0,0.5,Okert,McGee,Bender,2:57,D,38885.0,0.96,-1,
2,2,2,2,2,2,2,2,2,3,"Sunday, Apr 10",SFG,Home,MIA,W,3.0,2.0,9.0,2-1,2.0,0.5,García,Rogers,Leone,2:43,D,37332.0,0.94,1,
3,3,3,3,3,3,3,3,3,4,"Monday, Apr 11",SFG,Home,SDP,L,2.0,4.0,9.0,2-2,3.0,1.5,Wilson,Rogers,Rogers,3:30,N,23279.0,1.02,-1,
4,4,4,4,4,4,4,4,4,5,"Tuesday, Apr 12",SFG,Home,SDP,W,13.0,2.0,9.0,3-2,3.0,1.0,Cobb,Darvish,None,3:13,N,25560.0,0.94,1,
5,5,5,5,5,5,5,5,5,6,"Wednesday, Apr 13",SFG,Home,SDP,W,2.0,1.0,9.0,4-2,2.0,0.5,Webb,Manaea,Doval,2:11,D,27197.0,1.04,2,
6,6,6,6,6,6,6,6,6,7,"Friday, Apr 15",SFG,@,CLE,W,4.0,1.0,9.0,5-2,1.0,Tied,Rodón,Plesac,Doval,2:56,N,33469.0,0.97,3,
7,7,7,7,7,7,7,7,7,8,"Saturday, Apr 16",SFG,@,CLE,W,4.0,2.0,9.0,6-2,1.0,Tied,Leone,Sandlin,McGee,3:19,N,13187.0,1.01,4,
8,8,8,8,8,8,8,8,8,9,"Sunday, Apr 17",SFG,@,CLE,W,8.0,1.0,9.0,7-2,1.0,Tied,Wood,Civale,None,2:57,D,9620.0,1.02,5,
9,9,9,9,9,9,9,9,9,10,"Tuesday, Apr 19 (1)",SFG,@,NYM,L-wo,4.0,5.0,10.0,7-3,3.0,1.0,Ottavino,García,None,3:33,D,,1.06,-1,
10,10,10,10,10,10,10,10,10,11,"Tuesday, Apr 19 (2)",SFG,@,NYM,L,1.0,3.0,9.0,7-4,3.0,1.0,Scherzer,Webb,May,2:41,D,27490.0,1.05,-2,
11,11,11,11,11,11,11,11,11,12,"Wednesday, Apr 20",SFG,@,NYM,W,5.0,2.0,9.0,8-4,2.0,1.0,Rodón,Bassitt,McGee,3:20,N,30050.0,1.05,1,
12,12,12,12,12,12,12,12,12,13,"Thursday, Apr 21",SFG,@,NYM,L,2.0,6.0,9.0,8-5,4.0,1.5,Carrasco,DeSclafani,None,2:35,D,28760.0,1.1,-1,
13,13,13,13,13,13,13,13,13,14,"Friday, Apr 22",SFG,@,WSN,W,7.0,1.0,9.0,9-5,2.0,1.5,Junis,Corbin,None,2:53,N,23751.0,1.02,1,
14,14,14,14,14,14,14,14,14,15,"Saturday, Apr 23",SFG,@,WSN,W,5.0,2.0,9.0,10-5,2.0,0.5,Wood,Sanchez,Doval,2:48,D,27799.0,1.07,2,
15,15,15,15,15,15,15,15,15,16,"Sunday, Apr 24",SFG,@,WSN,W,12.0,3.0,9.0,11-5,2.0,0.5,Webb,Adon,None,3:19,D,26003.0,1.08,3,
16,16,16,16,16,16,16,16,16,17,"Monday, Apr 25",SFG,@,MIL,W,4.0,2.0,9.0,12-5,2.0,0.5,McGee,Cousins,Doval,3:01,N,21186.0,1.09,4,
17,17,17,17,17,17,17,17,17,18,"Tuesday, Apr 26",SFG,Home,OAK,W,8.0,2.0,9.0,13-5,1.0,up 0.5,Rodón,Jefferies,None,3:01,N,32898.0,1.05,5,
18,18,18,18,18,18,18,18,18,19,"Wednesday, Apr 27",SFG,Home,OAK,L,0.0,1.0,9.0,13-6,1.0,up 0.5,Blackburn,Long,Jiménez,3:00,N,32014.0,1.08,-1,
19,19,19,19,19,19,19,19,19,20,"Friday, Apr 29",SFG,Home,WSN,L,4.0,14.0,9.0,13-7,3.0,0.5,Sanchez,Wood,None,3:46,N,38256.0,1.12,-2,
20,20,20,20,20,20,20,20,20,21,"Saturday, Apr 30",SFG,Home,WSN,W,9.0,3.0,9.0,14-7,1.0,up 0.5,Webb,Adon,None,3:20,D,33241.0,1.06,1,
21,21,21,21,21,21,21,21,21,22,"Sunday, May 1",SFG,Home,WSN,L,5.0,11.0,9.0,14-8,3.0,0.5,Gray,Cobb,None,3:37,D,38451.0,1.13,-1,
22,22,22,22,22,22,22,22,22,23,"Tuesday, May 3",SFG,@,LAD,L,1.0,3.0,9.0,14-9,3.0,1.5,Urías,Rodón,Kimbrel,3:05,N,43370.0,1.22,-2,
23,23,23,23,23,23,23,23,23,24,"Wednesday, May 4",SFG,@,LAD,L,1.0,9.0,9.0,14-10,3.0,2.5,Gonsolin,Wood,None,3:00,N,52203.0,1.2,-3,
24,24,24,24,24,24,24,24,24,25,"Thursday, May 5",SFG,Home,STL,L,1.0,7.0,9.0,14-11,4.0,3.0,Mikolas,Littell,None,3:01,N,22562.0,1.05,-4,
25,25,25,25,25,25,25,25,25,26,"Friday, May 6",SFG,Home,STL,L,2.0,3.0,9.0,14-12,4.0,3.5,Helsley,Doval,Gallegos,2:52,N,28898.0,1.01,-5,
26,26,26,26,26,26,26,26,26,27,"Saturday, May 7",SFG,Home,STL,W,13.0,7.0,9.0,15-12,4.0,4.0,Webb,Matz,None,3:22,D,40113.0,0.95,1,
27,27,27,27,27,27,27,27,27,28,"Sunday, May 8",SFG,Home,STL,W,4.0,3.0,9.0,16-12,3.0,4.0,Leone,Cabrera,Doval,3:08,D,38193.0,0.99,2,
28,28,28,28,28,28,28,28,28,29,"Monday, May 9",SFG,Home,COL,W,8.0,5.0,9.0,17-12,3.0,3.0,Rodón,Gomber,None,3:15,N,20039.0,1.07,3,
29,29,29,29,29,29,29,29,29,30,"Tuesday, May 10",SFG,Home,COL,W,9.0,2.0,9.0,18-12,3.0,3.0,Wood,Senzatela,None,3:10,N,21472.0,1.11,4,
30,30,30,30,30,30,30,30,30,31,"Wednesday, May 11",SFG,Home,COL,W,7.0,1.0,9.0,19-12,3.0,2.0,Cobb,Kuhl,None,3:14,D,23341.0,1.08,5,
31,31,31,31,31,31,31,31,31,32,"Friday, May 13",SFG,@,STL,W,8.0,2.0,9.0,20-12,3.0,0.5,Webb,Hicks,None,3:06,N,39612.0,1.1,6,
32,32,32,32,32,32,32,32,32,33,"Saturday, May 14",SFG,@,STL,L,0.0,4.0,9.0,20-13,3.0,0.5,Hudson,Junis,None,3:05,D,44537.0,1.17,-1,
33,33,33,33,33,33,33,33,33,34,"Sunday, May 15",SFG,@,STL,L,6.0,15.0,9.0,20-14,3.0,1.5,Wainwright,Rodón,None,3:05,N,39703.0,1.16,-2,
