,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
0,0,0,0,0,0,0,0,0,1,"Friday, Apr 8",TBR,Home,BAL,W,2.0,1.0,9.0,1-0,1.0,Tied,Kittredge,Tate,Raley,3:14,D,25025.0,0.92,1,
1,1,1,1,1,1,1,1,1,2,"Saturday, Apr 9",TBR,Home,BAL,W,5.0,3.0,9.0,2-0,1.0,Tied,Fleming,Lyles,Kittredge,2:33,D,15615.0,1.04,2,
2,2,2,2,2,2,2,2,2,3,"Sunday, Apr 10",TBR,Home,BAL,W,8.0,0.0,9.0,3-0,1.0,up 1.0,Springs,Wells,None,3:10,D,14100.0,1.01,3,
3,3,3,3,3,3,3,3,3,4,"Monday, Apr 11",TBR,Home,OAK,L,2.0,13.0,9.0,3-1,1.0,Tied,Blackburn,Patiño,None,3:00,N,9139.0,1.09,-1,
4,4,4,4,4,4,4,4,4,5,"Tuesday, Apr 12",TBR,Home,OAK,W-wo,9.0,8.0,10.0,4-1,1.0,up 1.0,Thompson,Trivino,None,4:12,N,7588.0,0.99,1,
5,5,5,5,5,5,5,5,5,6,"Wednesday, Apr 13",TBR,Home,OAK,L,2.0,4.0,9.0,4-2,1.0,Tied,Montas,McClanahan,Trivino,3:02,N,8954.0,1.06,-1,
6,6,6,6,6,6,6,6,6,7,"Thursday, Apr 14",TBR,Home,OAK,L,3.0,6.0,9.0,4-3,1.0,Tied,Irvin,Fleming,Jiménez,2:33,D,8287.0,1.01,-2,
7,7,7,7,7,7,7,7,7,8,"Friday, Apr 15",TBR,@,CHW,L,2.0,3.0,9.0,4-4,2.0,1.0,Cease,Rasmussen,Hendriks,2:51,N,19009.0,0.99,-3,
8,8,8,8,8,8,8,8,8,9,"Saturday, Apr 16",TBR,@,CHW,L,2.0,3.0,9.0,4-5,4.0,1.0,López,Thompson,Hendriks,2:50,D,27113.0,0.98,-4,
9,9,9,9,9,9,9,9,9,10,"Sunday, Apr 17",TBR,@,CHW,W,9.0,3.0,9.0,5-5,3.0,1.0,Mazza,Velasquez,None,3:35,D,17798.0,0.92,1,
10,10,10,10,10,10,10,10,10,11,"Monday, Apr 18",TBR,@,CHC,L,2.0,4.0,9.0,5-6,4.0,1.5,Thompson,Adam,Robertson,2:43,N,26615.0,0.93,-1,
11,11,11,11,11,11,11,11,11,12,"Tuesday, Apr 19",TBR,@,CHC,W,6.0,5.0,9.0,6-6,4.0,0.5,Fleming,Steele,Kittredge,3:09,N,26568.0,0.87,1,
12,12,12,12,12,12,12,12,12,13,"Wednesday, Apr 20",TBR,@,CHC,W,8.0,2.0,6.0,7-6,3.0,0.5,Beeks,Stroman,None,2:07,N,26167.0,0.93,2,
13,13,13,13,13,13,13,13,13,14,"Friday, Apr 22",TBR,Home,BOS,L,3.0,4.0,9.0,7-7,3.0,2.0,Wacha,Kluber,Barnes,3:21,N,16902.0,1.09,-1,
14,14,14,14,14,14,14,14,14,15,"Saturday, Apr 23",TBR,Home,BOS,W-wo,3.0,2.0,10.0,8-7,3.0,2.0,Wisler,Robles,None,3:05,N,19137.0,1.06,1,
15,15,15,15,15,15,15,15,15,16,"Sunday, Apr 24",TBR,Home,BOS,W,5.0,2.0,9.0,9-7,3.0,1.0,McClanahan,Valdez,Thompson,2:38,D,20993.0,1.03,2,
16,16,16,16,16,16,16,16,16,17,"Tuesday, Apr 26",TBR,Home,SEA,L,4.0,8.0,9.0,9-8,3.0,2.5,Gilbert,Fleming,None,3:15,N,9257.0,1.03,-1,
17,17,17,17,17,17,17,17,17,18,"Wednesday, Apr 27",TBR,Home,SEA,W,3.0,2.0,9.0,10-8,3.0,2.0,Rasmussen,Gonzales,Kittredge,2:41,N,7290.0,0.99,1,
18,18,18,18,18,18,18,18,18,19,"Thursday, Apr 28",TBR,Home,SEA,W,2.0,1.0,9.0,11-8,3.0,2.0,Feyereisen,Flexen,Thompson,3:04,D,6749.0,1.04,2,
19,19,19,19,19,19,19,19,19,20,"Friday, Apr 29",TBR,Home,MIN,W,6.0,1.0,9.0,12-8,3.0,2.0,Kluber,Bundy,None,2:16,N,9928.0,1.07,3,
