,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
0,0,0,0,0,0,0,0,0,1,"Friday, Apr 8",TEX,@,TOR,L,8.0,10.0,9.0,0-1,3.0,1.5,Cimber,Santana,Romano,3:26,N,45022.0,0.93,-1,
1,1,1,1,1,1,1,1,1,2,"Saturday, Apr 9",TEX,@,TOR,L,3.0,4.0,9.0,0-2,4.0,2.0,Richards,Martin,Romano,2:39,D,43386.0,0.92,-2,
2,2,2,2,2,2,2,2,2,3,"Sunday, Apr 10",TEX,@,TOR,W,12.0,6.0,9.0,1-2,3.0,1.5,Burke,Merryweather,None,3:24,D,31549.0,0.87,1,
3,3,3,3,3,3,3,3,3,4,"Monday, Apr 11",TEX,Home,COL,L,4.0,6.0,10.0,1-3,5.0,2.0,Bard,Holland,Goudeau,4:01,D,35052.0,0.85,-1,
4,4,4,4,4,4,4,4,4,5,"Tuesday, Apr 12",TEX,Home,COL,L,1.0,4.0,9.0,1-4,5.0,3.0,Chacín,Pérez,Bard,3:09,N,15862.0,0.81,-2,
5,5,5,5,5,5,5,5,5,6,"Thursday, Apr 14",TEX,Home,LAA,W,10.0,5.0,9.0,2-4,5.0,2.0,King,Ohtani,None,3:30,N,21440.0,0.85,1,
6,6,6,6,6,6,6,6,6,7,"Friday, Apr 15",TEX,Home,LAA,L,6.0,9.0,9.0,2-5,5.0,2.0,Warren,Allard,Iglesias,3:32,N,28723.0,0.89,-1,
7,7,7,7,7,7,7,7,7,8,"Saturday, Apr 16",TEX,Home,LAA,L,2.0,7.0,9.0,2-6,5.0,3.0,Syndergaard,Hearn,None,3:10,N,34493.0,0.86,-2,
8,8,8,8,8,8,8,8,8,9,"Sunday, Apr 17",TEX,Home,LAA,L,3.0,8.0,9.0,2-7,5.0,3.5,Mayers,Pérez,None,3:25,D,22650.0,0.79,-3,
9,9,9,9,9,9,9,9,9,10,"Tuesday, Apr 19",TEX,@,SEA,L,2.0,6.0,9.0,2-8,5.0,4.0,Ray,Gray,None,2:37,N,11067.0,0.78,-4,
10,10,10,10,10,10,10,10,10,11,"Wednesday, Apr 20",TEX,@,SEA,L,2.0,4.0,9.0,2-9,5.0,5.0,Gilbert,Dunning,None,2:56,N,9374.0,0.71,-5,
11,11,11,11,11,11,11,11,11,12,"Thursday, Apr 21",TEX,@,SEA,W,8.0,6.0,9.0,3-9,5.0,4.5,Barlow,Steckenrider,None,3:47,N,12570.0,0.66,1,
12,12,12,12,12,12,12,12,12,13,"Friday, Apr 22",TEX,@,OAK,W,8.0,1.0,9.0,4-9,5.0,3.5,Otto,Oller,None,3:05,N,7012.0,0.73,2,
13,13,13,13,13,13,13,13,13,14,"Saturday, Apr 23",TEX,@,OAK,W,2.0,0.0,9.0,5-9,5.0,3.5,Burke,Montas,Bush,2:41,D,9120.0,0.78,3,
14,14,14,14,14,14,14,14,14,15,"Sunday, Apr 24",TEX,@,OAK,L,0.0,2.0,9.0,5-10,5.0,4.5,Irvin,Howard,Jiménez,2:56,D,11083.0,0.84,-1,
15,15,15,15,15,15,15,15,15,16,"Monday, Apr 25",TEX,Home,HOU,W,6.0,2.0,9.0,6-10,5.0,4.0,Moore,Maton,None,3:14,N,17420.0,0.79,1,
