,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
0,0,0,0,0,0,0,0,0,1,"Friday, Apr 8",TOR,Home,TEX,W,10.0,8.0,9.0,1-0,1.0,Tied,Cimber,Santana,Romano,3:26,N,45022.0,0.93,1,
1,1,1,1,1,1,1,1,1,2,"Saturday, Apr 9",TOR,Home,TEX,W,4.0,3.0,9.0,2-0,1.0,Tied,Richards,Martin,Romano,2:39,D,43386.0,0.94,2,
2,2,2,2,2,2,2,2,2,3,"Sunday, Apr 10",TOR,Home,TEX,L,6.0,12.0,9.0,2-1,2.0,1.0,Burke,Merryweather,None,3:24,D,31549.0,0.99,-1,
3,3,3,3,3,3,3,3,3,4,"Monday, Apr 11",TOR,@,NYY,W,3.0,0.0,9.0,3-1,1.0,Tied,Manoah,Taillon,Romano,3:03,N,26211.0,1.04,1,
4,4,4,4,4,4,4,4,4,5,"Tuesday, Apr 12",TOR,@,NYY,L,0.0,4.0,9.0,3-2,2.0,1.0,Holmes,Kikuchi,None,3:07,N,25068.0,1.07,-1,
5,5,5,5,5,5,5,5,5,6,"Wednesday, Apr 13",TOR,@,NYY,W,6.0,4.0,9.0,4-2,1.0,Tied,Cimber,Green,Romano,3:10,N,30109.0,1.04,1,
6,6,6,6,6,6,6,6,6,7,"Thursday, Apr 14",TOR,@,NYY,L,0.0,3.0,9.0,4-3,1.0,Tied,Severino,Gausman,King,3:06,N,37255.0,1.07,-1,
7,7,7,7,7,7,7,7,7,8,"Friday, Apr 15",TOR,Home,OAK,W,4.0,1.0,9.0,5-3,1.0,up 1.0,Cimber,Jefferies,Romano,3:00,N,35415.0,0.98,1,
8,8,8,8,8,8,8,8,8,9,"Saturday, Apr 16",TOR,Home,OAK,L,5.0,7.0,9.0,5-4,1.0,Tied,Jiménez,Merryweather,Trivino,3:05,D,32330.0,1.05,-1,
9,9,9,9,9,9,9,9,9,10,"Sunday, Apr 17",TOR,Home,OAK,W,4.0,3.0,9.0,6-4,1.0,up 0.5,Manoah,Oller,Romano,3:05,D,27490.0,1.0,1,
10,10,10,10,10,10,10,10,10,11,"Tuesday, Apr 19",TOR,@,BOS,L,1.0,2.0,9.0,6-5,1.0,Tied,Robles,Garcia,Whitlock,3:10,N,31640.0,1.1,-1,
11,11,11,11,11,11,11,11,11,12,"Wednesday, Apr 20",TOR,@,BOS,W,6.0,1.0,9.0,7-5,1.0,Tied,Berríos,Pivetta,None,3:07,N,33354.0,1.08,1,
12,12,12,12,12,12,12,12,12,13,"Thursday, Apr 21",TOR,@,BOS,W,3.0,2.0,9.0,8-5,1.0,up 1.0,Gausman,Houck,Romano,2:59,D,35792.0,1.07,2,
13,13,13,13,13,13,13,13,13,14,"Friday, Apr 22",TOR,@,HOU,W,4.0,3.0,9.0,9-5,1.0,up 1.0,Mayza,Neris,Romano,2:53,N,36757.0,1.11,3,
14,14,14,14,14,14,14,14,14,15,"Saturday, Apr 23",TOR,@,HOU,W,3.0,2.0,9.0,10-5,1.0,up 1.0,Manoah,Taylor,Cimber,2:54,D,36075.0,1.14,4,
15,15,15,15,15,15,15,15,15,16,"Sunday, Apr 24",TOR,@,HOU,L-wo,7.0,8.0,10.0,10-6,1.0,Tied,Taylor,Romano,None,3:45,D,39534.0,1.16,-1,
16,16,16,16,16,16,16,16,16,17,"Monday, Apr 25",TOR,Home,BOS,W,6.0,2.0,9.0,11-6,1.0,up 0.5,Cimber,Strahm,None,2:16,N,20981.0,1.16,1,
17,17,17,17,17,17,17,17,17,18,"Tuesday, Apr 26",TOR,Home,BOS,W-wo,6.0,5.0,10.0,12-6,1.0,up 0.5,Romano,Barnes,None,3:47,N,22611.0,1.2,2,
18,18,18,18,18,18,18,18,18,19,"Wednesday, Apr 27",TOR,Home,BOS,L,1.0,7.0,9.0,12-7,2.0,0.5,Wacha,Thornton,None,3:05,N,20468.0,1.22,-1,
19,19,19,19,19,19,19,19,19,20,"Thursday, Apr 28",TOR,Home,BOS,W,1.0,0.0,9.0,13-7,2.0,0.5,Manoah,Whitlock,Romano,2:42,D,23144.0,1.18,1,
20,20,20,20,20,20,20,20,20,21,"Friday, Apr 29",TOR,Home,HOU,L,7.0,11.0,9.0,13-8,2.0,1.5,Urquidy,Thornton,None,3:42,N,35066.0,1.17,-1,
21,21,21,21,21,21,21,21,21,22,"Saturday, Apr 30",TOR,Home,HOU,W,2.0,1.0,9.0,14-8,2.0,1.5,Berríos,Garcia,Romano,2:43,D,40732.0,1.15,1,
22,22,22,22,22,22,22,22,22,23,"Sunday, May 1",TOR,Home,HOU,W,3.0,2.0,9.0,15-8,2.0,1.5,Gausman,Valdez,Romano,2:52,D,31802.0,1.2,2,
23,23,23,23,23,23,23,23,23,24,"Monday, May 2",TOR,Home,NYY,L,2.0,3.0,9.0,15-9,2.0,2.5,Holmes,Garcia,Green,2:54,N,18577.0,1.34,-1,
24,24,24,24,24,24,24,24,24,25,"Tuesday, May 3",TOR,Home,NYY,L,1.0,9.0,9.0,15-10,2.0,3.5,Taillon,Cimber,None,2:57,N,22491.0,1.3,-2,
25,25,25,25,25,25,25,25,25,26,"Wednesday, May 4",TOR,Home,NYY,W,2.0,1.0,9.0,16-10,2.0,2.5,Kikuchi,Cortes,Romano,2:44,N,29057.0,1.25,1,
26,26,26,26,26,26,26,26,26,27,"Thursday, May 5",TOR,@,CLE,L,5.0,6.0,9.0,16-11,3.0,3.0,Civale,Berríos,Clase,3:03,N,9104.0,1.11,-1,
27,27,27,27,27,27,27,27,27,28,"Saturday, May 7 (1)",TOR,@,CLE,W,8.0,3.0,9.0,17-11,3.0,3.0,Gausman,Bieber,None,3:23,D,,1.12,1,
28,28,28,28,28,28,28,28,28,29,"Saturday, May 7 (2)",TOR,@,CLE,L,2.0,8.0,9.0,17-12,3.0,3.0,McKenzie,Stripling,None,2:55,D,16819.0,1.1,-1,
29,29,29,29,29,29,29,29,29,30,"Sunday, May 8",TOR,@,CLE,L,3.0,4.0,9.0,17-13,3.0,3.5,Shaw,Cimber,Clase,3:02,D,14787.0,1.09,-2,
30,30,30,30,30,30,30,30,30,31,"Tuesday, May 10",TOR,@,NYY,L-wo,5.0,6.0,9.0,17-14,3.0,5.0,Peralta,Romano,None,3:39,N,41522.0,1.18,-3,
31,31,31,31,31,31,31,31,31,32,"Wednesday, May 11",TOR,@,NYY,L,3.0,5.0,9.0,17-15,3.0,6.0,Taillon,Berríos,Chapman,2:50,D,42105.0,1.2,-4,
32,32,32,32,32,32,32,32,32,33,"Friday, May 13",TOR,@,TBR,L,2.0,5.0,9.0,17-16,3.0,7.5,Kittredge,Gausman,Adam,2:49,N,10169.0,1.05,-5,
33,33,33,33,33,33,33,33,33,34,"Saturday, May 14",TOR,@,TBR,W,5.0,1.0,9.0,18-16,3.0,6.5,Mayza,Thompson,None,3:03,N,15195.0,1.0,1,
34,34,34,34,34,34,34,34,34,35,"Sunday, May 15",TOR,@,TBR,L,0.0,3.0,9.0,18-17,3.0,7.5,Wisler,Manoah,Kittredge,2:47,D,20986.0,1.07,-1,
35,35,35,35,35,35,35,35,35,36,"Monday, May 16",TOR,Home,SEA,W,6.0,2.0,9.0,19-17,3.0,7.5,Kikuchi,Flexen,Cimber,3:23,N,28207.0,0.9,1,
36,36,36,36,36,36,36,36,36,37,"Tuesday, May 17",TOR,Home,SEA,W,3.0,0.0,9.0,20-17,3.0,7.5,Berríos,Gilbert,Cimber,2:20,N,22988.0,0.92,2,
37,37,37,37,37,37,37,37,37,38,"Wednesday, May 18",TOR,Home,SEA,L,1.0,5.0,9.0,20-18,3.0,8.5,Gonzales,Gausman,None,2:47,N,20472.0,1.0,-1,
38,38,38,38,38,38,38,38,38,39,"Friday, May 20",TOR,Home,CIN,W,2.0,1.0,9.0,21-18,3.0,7.5,Ryu,Castillo,Romano,2:42,N,29300.0,0.86,1,
39,39,39,39,39,39,39,39,39,40,"Saturday, May 21",TOR,Home,CIN,W,3.0,1.0,9.0,22-18,3.0,7.5,Manoah,Cessa,Romano,2:19,D,39393.0,0.96,2,
40,40,40,40,40,40,40,40,40,41,"Sunday, May 22",TOR,Home,CIN,L,2.0,3.0,9.0,22-19,3.0,7.0,Díaz,Garcia,Warren,3:17,D,42323.0,0.93,-1,
41,41,41,41,41,41,41,41,41,42,"Monday, May 23",TOR,@,STL,L-wo,3.0,7.0,10.0,22-20,3.0,7.0,Cabrera,Phelps,None,3:21,N,36033.0,0.94,-2,
42,42,42,42,42,42,42,42,42,43,"Tuesday, May 24",TOR,@,STL,W,8.0,1.0,9.0,23-20,3.0,7.0,Gausman,Hicks,None,3:30,N,33797.0,0.89,1,
43,43,43,43,43,43,43,43,43,44,"Thursday, May 26",TOR,@,LAA,W,6.0,3.0,9.0,24-20,3.0,7.5,Ryu,Ohtani,None,2:56,N,28228.0,1.02,2,
44,44,44,44,44,44,44,44,44,45,"Friday, May 27",TOR,@,LAA,W,4.0,3.0,9.0,25-20,3.0,7.5,Richards,Iglesias,Romano,3:05,N,44641.0,1.06,3,
45,45,45,45,45,45,45,45,45,46,"Saturday, May 28",TOR,@,LAA,W,6.0,5.0,9.0,26-20,3.0,6.5,Cimber,Barraclough,Stripling,3:45,N,34005.0,1.07,4,
46,46,46,46,46,46,46,46,46,47,"Sunday, May 29",TOR,@,LAA,W,11.0,10.0,9.0,27-20,3.0,5.5,Cimber,Quijada,Phelps,4:13,D,36568.0,1.11,5,
47,47,47,47,47,47,47,47,47,48,"Tuesday, May 31",TOR,Home,CHW,W,6.0,5.0,9.0,28-20,2.0,5.5,Gausman,Giolito,Romano,3:24,N,25424.0,1.1,6,
48,48,48,48,48,48,48,48,48,49,"Wednesday, Jun 1",TOR,Home,CHW,W,7.0,3.0,9.0,29-20,2.0,5.0,Stripling,Kopech,None,3:14,N,23312.0,1.09,7,
49,49,49,49,49,49,49,49,49,50,"Thursday, Jun 2",TOR,Home,CHW,W,8.0,3.0,9.0,30-20,2.0,5.5,Manoah,Cueto,None,3:05,D,25250.0,1.09,8,
50,50,50,50,50,50,50,50,50,51,"Friday, Jun 3",TOR,Home,MIN,L,3.0,9.0,9.0,30-21,3.0,6.5,Cotton,Kikuchi,None,3:02,N,27753.0,1.07,-1,
51,51,51,51,51,51,51,51,51,52,"Saturday, Jun 4",TOR,Home,MIN,W,12.0,3.0,9.0,31-21,2.0,6.5,Berríos,Bundy,None,3:01,D,36987.0,1.07,1,
